Branch Index, From Bus , To Bus,1.0, 2.0, 3.0, 4.0, 5.0
32, 19, 20,0.0,0.0,1.0,1.0,1.0 
40, 25, 26,0.0,0.0,1.0,1.0,1.0 
39, 23, 36,0.0,0.0,1.0,1.0,1.0 
46, 29, 38,0.0,1.0,1.0,1.0,1.0 
43, 26, 28,0.0,1.0,1.0,1.0,1.0 
26, 16, 17,0.0,0.0,1.0,1.0,1.0 
25, 15, 16,0.0,0.0,1.0,1.0,1.0 
35, 21, 22,0.0,0.0,0.0,1.0,1.0 
42, 26, 27,0.0,1.0,1.0,1.0,1.0 
29, 16, 24,0.0,0.0,1.0,1.0,1.0 
34, 20, 34,0.0,0.0,1.0,1.0,1.0 
44, 26, 29,0.0,0.0,0.0,0.0,1.0 
37, 22, 35,0.0,0.0,1.0,1.0,1.0 
28, 16, 21,0.0,0.0,0.0,1.0,1.0 
38, 23, 24,0.0,0.0,1.0,1.0,1.0 
45, 28, 29,0.0,1.0,1.0,1.0,1.0 
31, 17, 27,0.0,-0.0,1.0,1.0,1.0 
27, 16, 19,0.0,0.0,1.0,1.0,1.0 
36, 22, 23,0.0,0.0,1.0,1.0,1.0 
41, 25, 37,0.0,0.0,1.0,1.0,1.0 
33, 19, 33,0.0,0.0,1.0,1.0,1.0 
