Branch Index, From/To, To/From, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
(1, 101, 102), 0.0,0.0,0.0,0.0,0.0,-16.0,-35.0,-33.0,-25.0,-41.0 
(1, 102, 101), 0.0,0.0,0.0,0.0,0.0,-37.0,-11.0,-19.0,-29.0,2.0 
(2, 101, 103), 0.0,0.0,0.0,0.0,52.0,62.0,-8.0,39.0,19.0,-10.0 
(2, 103, 101), 0.0,0.0,0.0,0.0,-58.0,-68.0,2.0,-45.0,-25.0,5.0 
(3, 101, 105), 0.0,0.0,0.0,0.0,-3.0,-3.0,-29.0,18.0,-1.0,-15.0 
(3, 105, 101), 0.0,0.0,0.0,0.0,-0.0,-0.0,27.0,-20.0,-2.0,13.0 
(4, 102, 104), 0.0,0.0,0.0,0.0,0.0,58.0,-7.0,32.0,16.0,-1.0 
(4, 104, 102), 0.0,0.0,0.0,0.0,0.0,-62.0,4.0,-36.0,-20.0,-2.0 
(5, 102, 106), 0.0,0.0,0.0,0.0,-2.0,21.0,-32.0,6.0,-8.0,-15.0 
(5, 106, 102), 0.0,0.0,0.0,0.0,-4.0,-27.0,27.0,-12.0,2.0,10.0 
(6, 103, 109), 0.0,0.0,0.0,0.0,0.0,4.0,-15.0,-21.0,-16.0,-1.0 
(6, 109, 103), 0.0,0.0,0.0,0.0,0.0,-7.0,12.0,18.0,12.0,-2.0 
(7, 104, 109), 0.0,0.0,0.0,0.0,0.0,62.0,-19.0,21.0,5.0,-13.0 
(7, 109, 104), 0.0,0.0,0.0,-3.0,-3.0,-65.0,16.0,-24.0,-8.0,11.0 
(8, 105, 110), 0.0,0.0,0.0,0.0,0.0,0.0,-41.0,6.0,-12.0,-27.0 
(8, 110, 105), 0.0,0.0,0.0,0.0,-0.0,0.0,39.0,-9.0,9.0,25.0 
(9, 106, 110), 0.0,0.0,0.0,0.0,-116.0,-85.0,-132.0,-124.0,-147.0,-126.0 
(9, 110, 106), 0.0,0.0,0.0,0.0,-179.0,-190.0,-129.0,-143.0,-144.0,-96.0 
(10, 107, 108), 0.0,0.0,0.0,0.0,0.0,0.0,49.0,-19.0,-5.0,-1.0 
(10, 108, 107), 0.0,0.0,0.0,0.0,0.0,0.0,-51.0,18.0,3.0,-1.0 
(11, 107, 203), 0.0,0.0,0.0,0.0,19.0,44.0,-20.0,-31.0,-2.0,-49.0 
(11, 203, 107), 0.0,0.0,0.0,0.0,-24.0,-49.0,15.0,26.0,-3.0,45.0 
(12, 108, 109), 0.0,0.0,0.0,0.0,0.0,0.0,18.0,-13.0,-7.0,-11.0 
(12, 109, 108), 0.0,0.0,0.0,0.0,0.0,0.0,-23.0,9.0,2.0,7.0 
(13, 108, 110), 0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-39.0,-31.0,-23.0 
(13, 110, 108), 0.0,0.0,0.0,-5.0,-5.0,-5.0,-3.0,35.0,25.0,19.0 
(14, 111, 113), 0.0,0.0,7.0,41.0,125.0,96.0,-2.0,-28.0,-25.0,-19.0 
(14, 113, 111), 0.0,0.0,-19.0,-52.0,-134.0,-105.0,-8.0,18.0,14.0,10.0 
(15, 111, 114), 0.0,0.0,-21.0,-10.0,48.0,81.0,26.0,85.0,60.0,9.0 
(15, 114, 111), 0.0,0.0,11.0,0.0,-56.0,-89.0,-34.0,-94.0,-69.0,-16.0 
(16, 112, 113), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0 
(16, 113, 112), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0 
(17, 112, 123), 0.0,0.0,16.0,-19.0,22.0,101.0,-10.0,-17.0,-5.0,-20.0 
(17, 123, 112), 0.0,0.0,-39.0,-5.0,-45.0,-120.0,-11.0,-5.0,-18.0,1.0 
(18, 113, 123), 0.0,0.0,0.0,0.0,0.0,0.0,-26.0,-39.0,-12.0,-16.0 
(18, 123, 113), 0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,-9.0,-2.0 
(19, 113, 215), 0.0,0.0,59.0,-14.0,41.0,30.0,-80.0,-59.0,-5.0,-111.0 
(19, 215, 113), 0.0,0.0,-76.0,-3.0,-54.0,-43.0,63.0,42.0,-13.0,95.0 
(20, 114, 116), 0.0,0.0,-11.0,54.0,-15.0,32.0,-55.0,5.0,-20.0,-73.0 
(20, 116, 114), 0.0,0.0,1.0,-63.0,8.0,-38.0,47.0,-12.0,11.0,65.0 
(21, 115, 116), 0.0,0.0,-42.0,60.0,49.0,61.0,20.0,-52.0,-4.0,54.0 
(21, 116, 115), 0.0,0.0,38.0,-63.0,-52.0,-64.0,-24.0,49.0,0.0,-57.0 
(22, 115, 121), 0.0,0.0,0.0,-87.0,-27.0,-29.0,-68.0,-5.0,-41.0,-93.0 
(22, 121, 115), 0.0,0.0,0.0,76.0,19.0,21.0,56.0,-4.0,29.0,83.0 
(23, 115, 121), 0.0,0.0,0.0,-87.0,-27.0,-29.0,-68.0,-5.0,-41.0,-93.0 
(23, 121, 115), 0.0,0.0,0.0,76.0,19.0,21.0,56.0,-4.0,29.0,83.0 
(24, 115, 124), 0.0,0.0,0.0,0.0,-69.0,-75.0,13.0,-40.0,-16.0,31.0 
(24, 124, 115), 0.0,0.0,0.0,0.0,60.0,66.0,-25.0,30.0,4.0,-42.0 
(25, 116, 117), 0.0,0.0,0.0,56.0,9.0,75.0,-93.0,36.0,-31.0,-126.0 
(25, 117, 116), 0.0,0.0,0.0,-61.0,-13.0,-79.0,87.0,-41.0,25.0,120.0 
(26, 116, 119), 0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-143.0,-50.0,48.0 
(26, 119, 116), 0.0,0.0,0.0,0.0,-0.0,0.0,-5.0,138.0,45.0,-53.0 
(27, 117, 118), 0.0,0.0,0.0,22.0,22.0,57.0,-56.0,34.0,2.0,-72.0 
(27, 118, 117), 0.0,0.0,0.0,-25.0,-25.0,-60.0,53.0,-37.0,-5.0,69.0 
(28, 117, 122), 0.0,0.0,0.0,39.0,-9.0,22.0,-30.0,6.0,-27.0,-48.0 
(28, 122, 117), 0.0,0.0,0.0,-60.0,-9.0,-40.0,5.0,-26.0,1.0,24.0 
(29, 118, 121), 0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-28.0,-44.0,-45.0 
(29, 121, 118), 0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,38.0,39.0 
(30, 118, 121), 0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-28.0,-44.0,-45.0 
(30, 121, 118), 0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,38.0,39.0 
(31, 119, 120), 0.0,0.0,0.0,0.0,-10.0,-10.0,-7.0,-87.0,-41.0,8.0 
(31, 120, 119), 0.0,0.0,0.0,0.0,0.0,0.0,-1.0,79.0,32.0,-16.0 
(32, 119, 120), 0.0,0.0,0.0,0.0,-10.0,-10.0,-7.0,-87.0,-41.0,8.0 
(32, 120, 119), 0.0,0.0,0.0,0.0,0.0,0.0,-1.0,79.0,32.0,-16.0 
(33, 120, 123), 0.0,0.0,0.0,0.0,-0.0,-0.0,-12.0,-92.0,-45.0,3.0 
(33, 123, 120), 0.0,0.0,0.0,0.0,0.0,0.0,7.0,87.0,39.0,-7.0 
(34, 120, 123), 0.0,0.0,0.0,0.0,-0.0,-0.0,-12.0,-92.0,-45.0,3.0 
(34, 123, 120), 0.0,0.0,0.0,0.0,0.0,0.0,7.0,87.0,39.0,-7.0 
(35, 121, 122), 0.0,0.0,0.0,0.0,0.0,0.0,-20.0,21.0,-16.0,-33.0 
(35, 122, 121), 0.0,0.0,0.0,0.0,0.0,0.0,3.0,-34.0,-1.0,17.0 
(36, 121, 325), 0.0,0.0,0.0,0.0,-57.0,-90.0,-25.0,-108.0,-22.0,-11.0 
