Gen Index, Gen Bus,1, 2, 3, 4, 5, 6, 7, 8, 9, 10
161, 1001, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
162, 1002, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
163, 1003, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
164, 1004, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
165, 1005, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
166, 1006, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
167, 1007, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
168, 1008, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
169, 1009, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
170, 1010, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
171, 1011, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
172, 1012, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
173, 1013, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
174, 1014, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
175, 1015, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
176, 1016, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
177, 1017, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
178, 1018, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
179, 1019, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
180, 1020, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
181, 1021, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
182, 1022, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
183, 1023, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
184, 1024, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
185, 1025, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
186, 1026, 0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
187, 1027, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
188, 1028, 0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
189, 1029, 0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
190, 1030, 0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
191, 1031, 0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
192, 1032, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
193, 1033, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
194, 1034, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
195, 1035, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
196, 1036, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
197, 1037, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
198, 1038, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
199, 1039, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
200, 1040, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
201, 1041, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
202, 1042, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
203, 1043, 0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 
