Gen Index, Gen Bus,1, 2, 3, 4, 5
1, 101, 0.0, 0.0, 1.0, 1.0, -0.0 
2, 101, 1.0, 1.0, 1.0, -0.0, -0.0 
3, 101, -0.0, -0.0, 1.0, -0.0, 1.0 
4, 101, 1.0, 1.0, 1.0, 1.0, -0.0 
5, 101, 1.0, 1.0, 1.0, 1.0, 1.0 
6, 101, 1.0, 1.0, 1.0, 1.0, 1.0 
7, 101, 1.0, 1.0, 1.0, 1.0, 1.0 
8, 101, 1.0, 1.0, 1.0, 1.0, 1.0 
9, 102, 1.0, 1.0, -0.0, -0.0, -0.0 
10, 102, 1.0, 1.0, -0.0, 1.0, 1.0 
11, 102, 1.0, 1.0, 1.0, 1.0, 1.0 
12, 102, 1.0, 1.0, 1.0, -0.0, 1.0 
13, 102, 1.0, 1.0, 1.0, 1.0, 1.0 
14, 102, 1.0, 1.0, 1.0, 1.0, 1.0 
15, 103, 1.0, 1.0, 1.0, 1.0, 1.0 
16, 104, 1.0, 1.0, 1.0, 1.0, 1.0 
17, 107, 1.0, 1.0, 1.0, 1.0, 1.0 
18, 113, 1.0, 1.0, 1.0, 1.0, 1.0 
19, 113, 1.0, 1.0, 1.0, 1.0, 1.0 
20, 113, 1.0, 1.0, -0.0, 1.0, 1.0 
21, 113, 1.0, 1.0, 1.0, 1.0, 1.0 
22, 113, 1.0, 1.0, 1.0, 1.0, 1.0 
23, 113, 0.0, 0.0, 0.0, 0.0, 0.0 
24, 114, 1.0, 1.0, 1.0, 1.0, 1.0 
25, 115, -0.0, -0.0, -0.0, 1.0, -0.0 
26, 115, 1.0, 1.0, 1.0, 1.0, 1.0 
27, 115, 1.0, 1.0, -0.0, 1.0, -0.0 
28, 116, 1.0, 1.0, 1.0, 1.0, 1.0 
29, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
30, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
31, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
32, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
33, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
34, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
35, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
36, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
37, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
38, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
39, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
40, 119, 1.0, 1.0, 1.0, 1.0, 1.0 
41, 121, 0.0, 0.0, 0.0, 0.0, 1.0 
42, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
43, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
44, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
45, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
46, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
47, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
48, 122, 1.0, 1.0, 1.0, 1.0, 1.0 
49, 123, 1.0, 1.0, 1.0, 1.0, 1.0 
50, 123, 1.0, 1.0, 1.0, 1.0, 1.0 
51, 123, 1.0, 1.0, -0.0, -0.0, -0.0 
52, 123, 1.0, 1.0, -0.0, 1.0, 1.0 
53, 123, 1.0, 1.0, -0.0, -0.0, -0.0 
54, 201, 1.0, -0.0, 1.0, 1.0, 1.0 
55, 201, 1.0, 1.0, 1.0, 1.0, 1.0 
56, 201, 1.0, 1.0, 1.0, 1.0, 1.0 
57, 201, 1.0, 1.0, 1.0, 1.0, 1.0 
58, 202, 1.0, 1.0, 1.0, 1.0, -0.0 
59, 202, 1.0, 1.0, 1.0, -0.0, -0.0 
60, 202, 1.0, 1.0, 1.0, 1.0, 1.0 
61, 202, 1.0, 1.0, 1.0, 1.0, -0.0 
62, 207, 1.0, 1.0, 1.0, 1.0, 1.0 
63, 207, 1.0, 1.0, 1.0, 1.0, -0.0 
64, 212, 1.0, 1.0, 1.0, 1.0, 1.0 
65, 213, 1.0, 1.0, 1.0, 1.0, 1.0 
66, 213, 0.0, 0.0, 0.0, 1.0, 1.0 
67, 213, 0.0, 0.0, 0.0, 1.0, -0.0 
68, 213, 1.0, 1.0, 1.0, 1.0, 1.0 
69, 214, 0.0, 1.0, 1.0, 1.0, 1.0 
70, 215, 1.0, 1.0, 1.0, 1.0, -0.0 
71, 215, -0.0, 1.0, 1.0, 1.0, -0.0 
72, 215, 0.0, 0.0, 1.0, 1.0, 1.0 
73, 215, 1.0, 1.0, 1.0, 1.0, 1.0 
74, 215, 1.0, 1.0, 1.0, 1.0, 1.0 
75, 215, 1.0, 1.0, 1.0, 1.0, 1.0 
76, 216, 1.0, 1.0, 1.0, 1.0, 1.0 
77, 218, 1.0, 1.0, 1.0, 1.0, 1.0 
78, 221, 0.0, 0.0, 0.0, 0.0, 0.0 
79, 222, 1.0, 1.0, 1.0, 1.0, 1.0 
80, 222, 1.0, 1.0, 1.0, 1.0, 1.0 
81, 222, 1.0, 1.0, 1.0, 1.0, 1.0 
82, 222, 1.0, 1.0, 1.0, 1.0, 1.0 
83, 222, 1.0, 1.0, 1.0, 1.0, 1.0 
84, 222, 0.0, 1.0, 1.0, 1.0, 1.0 
85, 223, 1.0, -0.0, -0.0, -0.0, -0.0 
86, 223, -0.0, -0.0, 1.0, -0.0, -0.0 
87, 223, 1.0, 1.0, 1.0, 1.0, 1.0 
88, 223, 0.0, 0.0, 0.0, 0.0, 0.0 
89, 223, -0.0, -0.0, -0.0, 1.0, 1.0 
90, 223, 0.0, 0.0, -0.0, -0.0, -0.0 
91, 301, 1.0, 1.0, -0.0, -0.0, 0.0 
92, 301, 1.0, 1.0, -0.0, -0.0, -0.0 
93, 301, 1.0, 1.0, 1.0, 1.0, 1.0 
94, 301, -0.0, 1.0, -0.0, -0.0, -0.0 
95, 302, 1.0, 1.0, 1.0, -0.0, 1.0 
96, 302, 1.0, 1.0, 1.0, 1.0, 1.0 
97, 302, 1.0, 0.0, 1.0, 1.0, 1.0 
98, 302, 1.0, 1.0, 1.0, -0.0, -0.0 
99, 303, 1.0, 1.0, 1.0, 1.0, 1.0 
100, 307, 1.0, 1.0, 1.0, 1.0, 1.0 
101, 307, 1.0, 1.0, 1.0, 1.0, -0.0 
102, 308, 1.0, 1.0, 1.0, 1.0, 1.0 
103, 309, 1.0, 1.0, 1.0, 1.0, 1.0 
104, 310, 1.0, 1.0, 1.0, 1.0, 1.0 
105, 310, 1.0, 1.0, 1.0, 1.0, 1.0 
106, 312, 1.0, 1.0, 1.0, 1.0, 1.0 
107, 313, 0.0, -0.0, 0.0, -0.0, -0.0 
108, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
109, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
110, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
111, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
112, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
113, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
114, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
115, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
116, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
117, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
118, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
119, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
120, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
121, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
122, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
123, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
124, 314, 1.0, 1.0, 1.0, 1.0, 1.0 
125, 314, 1.0, 1.0, 1.0, 1.0, 1.0 
126, 314, 1.0, 1.0, 1.0, 1.0, 1.0 
127, 314, 1.0, 1.0, 1.0, 1.0, 1.0 
128, 314, 1.0, 1.0, 1.0, 1.0, 1.0 
129, 315, -0.0, -0.0, -0.0, 1.0, -0.0 
130, 315, -0.0, -0.0, -0.0, -0.0, -0.0 
131, 315, -0.0, -0.0, -0.0, 1.0, -0.0 
132, 315, -0.0, -0.0, -0.0, -0.0, -0.0 
133, 315, -0.0, -0.0, -0.0, -0.0, -0.0 
134, 315, 1.0, 1.0, 1.0, 1.0, 1.0 
135, 315, 1.0, -0.0, -0.0, -0.0, -0.0 
136, 315, -0.0, -0.0, -0.0, -0.0, -0.0 
137, 316, 1.0, 1.0, 1.0, 1.0, 1.0 
138, 316, 0.0, 0.0, 0.0, 0.0, 0.0 
139, 317, 1.0, 1.0, 1.0, 1.0, 1.0 
140, 318, 1.0, 1.0, 1.0, 1.0, 1.0 
141, 319, 1.0, 1.0, 1.0, 1.0, 1.0 
142, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
143, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
144, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
145, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
146, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
147, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
148, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
149, 321, 0.0, 0.0, 0.0, 0.0, 0.0 
150, 322, -0.0, -0.0, -0.0, 1.0, -0.0 
151, 322, -0.0, -0.0, -0.0, -0.0, -0.0 
152, 322, 1.0, 1.0, 1.0, 1.0, 1.0 
153, 322, 0.0, 0.0, 0.0, 0.0, 1.0 
154, 322, 1.0, 1.0, 1.0, 1.0, 1.0 
155, 322, 1.0, 1.0, 1.0, 1.0, 1.0 
156, 323, 0.0, -0.0, -0.0, 0.0, -0.0 
157, 323, 0.0, 0.0, 0.0, 0.0, 0.0 
158, 324, 0.0, 0.0, 0.0, 0.0, 0.0 
159, 324, 1.0, 1.0, 1.0, 1.0, 1.0 
160, 324, 1.0, 1.0, 1.0, 1.0, 1.0 
161, 1001, 0.0, 0.0, 0.0, 0.0, 0.0 
162, 1002, 0.0, 0.0, 0.0, 0.0, 0.0 
163, 1003, 0.0, 0.0, 0.0, 0.0, 0.0 
164, 1004, 0.0, 0.0, 0.0, 0.0, 0.0 
165, 1005, 0.0, 0.0, 0.0, 0.0, 0.0 
166, 1006, 0.0, 0.0, 0.0, 0.0, 0.0 
167, 1007, 0.0, 0.0, 0.0, 0.0, 0.0 
168, 1008, 0.0, 0.0, 0.0, 0.0, 0.0 
169, 1009, -0.0, -0.0, -0.0, 0.0, 0.0 
170, 1010, 0.0, 0.0, 0.0, 0.0, 0.0 
171, 1011, 0.0, 0.0, 0.0, 0.0, 0.0 
172, 1012, 0.0, 0.0, 0.0, 0.0, 0.0 
173, 1013, 0.0, 0.0, 0.0, 0.0, 0.0 
174, 1014, 0.0, 0.0, 0.0, 0.0, 0.0 
175, 1015, 0.0, 0.0, 0.0, 0.0, 0.0 
176, 1016, 0.0, 0.0, 0.0, 0.0, 0.0 
177, 1017, 0.0, 0.0, 0.0, 0.0, 0.0 
178, 1018, 0.0, 0.0, 0.0, 0.0, 0.0 
179, 1019, -0.0, -0.0, 0.0, 0.0, 0.0 
180, 1020, 0.0, 0.0, 0.0, 0.0, 0.0 
181, 1021, 0.0, 0.0, 0.0, 0.0, 0.0 
182, 1022, 0.0, 0.0, 0.0, 0.0, 0.0 
183, 1023, 0.0, 0.0, 0.0, 0.0, 0.0 
184, 1024, 0.0, 0.0, 0.0, 0.0, 0.0 
185, 1025, 0.0, 0.0, 0.0, 0.0, 0.0 
186, 1026, 0.0, 0.0, 0.0, 0.0, 0.0 
187, 1027, 0.0, 0.0, 0.0, 0.0, 0.0 
188, 1028, 0.0, 0.0, 0.0, 0.0, 0.0 
189, 1029, 0.0, 0.0, 0.0, 0.0, 0.0 
190, 1030, 0.0, 0.0, 0.0, 0.0, 0.0 
191, 1031, 0.0, 0.0, 0.0, 0.0, 0.0 
192, 1032, 0.0, 0.0, 0.0, 0.0, 0.0 
193, 1033, 0.0, 0.0, 0.0, 0.0, 0.0 
