Gen Index, Gen Bus,1, 2, 3, 4, 5
1, 101, 0.0, 0.0, 0.2, 0.2, 0.0 
2, 101, 0.2, 0.2, 0.2, 0.0, 0.0 
3, 101, 0.0, 0.0, 0.76, 0.0, 0.76 
4, 101, 0.76, 0.76, 0.6299999999999999, 0.76, 0.0 
5, 101, 0.259, 0.259, 0.0, 0.259, 0.259 
6, 101, 0.267, 0.267, 0.0, 0.13958472979258296, 0.267 
7, 101, 0.262, 0.262, 0.0, 0.0, 0.262 
8, 101, 0.041999999999999926, 0.04200000000002413, 0.0, 0.0, 0.258 
9, 102, 0.2, 0.2, 0.0, 0.0, 0.0 
10, 102, 0.08, 0.2, 0.0, 0.2, 0.2 
11, 102, 0.76, 0.76, 0.6037575854830242, 0.76, 0.76 
12, 102, 0.76, 0.76, 0.76, 0.0, 0.76 
13, 102, 0.256, 0.256, 0.256, 0.256, 0.256 
14, 102, 0.253, 0.253, 0.253, 0.253, 0.253 
15, 103, 0.615, 0.615, 0.615, 0.615, 0.615 
16, 104, 0.268, 0.268, 0.268, 0.268, 0.268 
17, 107, 2.4506370115333005, 3.55, 3.55, 3.55, 3.55 
18, 113, 0.55, 0.55, 0.55, 0.55, 0.55 
19, 113, 0.55, 0.55, 0.55, 0.55, 0.55 
20, 113, 0.55, 0.55, 0.0, 0.55, 0.55 
21, 113, 0.55, 0.55, 0.55, 0.55, 0.55 
22, 113, 0.837178900875515, 0.9359999999999999, 0.9359999999999999, 0.9359999999999999, 0.9359999999999999 
23, 113, 0.0, 0.0, 0.0, 0.0, 0.0 
24, 114, 0.0, 0.0, 0.0, 0.0, 0.0 
25, 115, 0.0, 0.0, 0.0, 0.12, 0.0 
26, 115, 0.12, 0.12, 0.12, 0.12, 0.12 
27, 115, 1.55, 1.55, 0.0, 1.55, 0.0 
28, 116, 1.55, 1.55, 1.55, 1.55, 1.55 
29, 118, 3.33, 3.33, 3.55, 3.55, 3.55 
30, 118, 0.0, 0.0, 0.0, 0.09300000000000001, 0.0 
31, 118, 0.0, 0.0, 0.0, 0.09699999999999999, 0.0 
32, 118, 0.0, 0.0, 0.0, 0.094, 0.0 
33, 118, 0.0, 0.0, 0.0, 0.091, 0.0 
34, 118, 0.0, 0.0, 0.0, 0.09099999999999998, 0.0 
35, 118, 0.0, 0.0, 0.0, 0.09699999999999999, 0.0 
36, 118, 0.0, 0.0, 0.0, 0.11800000000000001, 0.0 
37, 118, 0.0, 0.0, 0.0, 0.11199999999999999, 0.0 
38, 118, 0.0, 0.0, 0.0, 0.10300000000000001, 0.0 
39, 118, 0.0, 0.0, 0.0, 0.045, 0.0 
40, 119, 0.6659999999999999, 0.6659999999999999, 0.6659999999999999, 0.6659999999999999, 0.6659999999999999 
41, 121, 0.0, 0.0, 0.0, 0.0, 3.96 
42, 122, 0.0, 0.0, 0.5, 0.0, 0.0 
43, 122, 0.0, 0.0, 0.5, 0.0, 0.0 
44, 122, 0.0, 0.0, 0.0, 0.0, 0.5 
45, 122, 0.0, 0.0, 0.5, 0.0, 0.0 
46, 122, 0.0, 0.0, 0.5, 0.0, 0.0 
47, 122, 0.0, 0.0, 0.04625673941803221, 0.0, 0.0 
48, 122, 3.3739999999998647, 3.3739999999995343, 7.135, 6.305901013622414, 3.2216408322131755 
49, 123, 1.55, 1.55, 1.55, 1.55, 1.55 
50, 123, 3.5, 3.5, 3.5, 3.5, 3.5 
51, 123, 0.55, 0.3312808293038272, 0.0, 0.0, 0.0 
52, 123, 0.55, 0.55, 0.0, 0.55, 0.55 
53, 123, 0.55, 0.55, 0.0, 0.0, 0.0 
54, 201, 0.08, 0.0, 0.2, 0.2, 0.2 
55, 201, 0.2, 0.2, 0.2, 0.2, 0.2 
56, 201, 0.30936298846669974, 0.76, 0.3, 0.76, 0.76 
57, 201, 0.0, 0.0, 0.0, 0.5, 0.5 
58, 202, 0.2, 0.2, 0.08, 0.2, 0.0 
59, 202, 0.08, 0.2, 0.10999999999999995, 0.0, 0.0 
60, 202, 0.67, 0.76, 0.76, 0.76, 0.76 
61, 202, 0.76, 0.55, 0.76, 0.75, 0.0 
62, 207, 0.55, 0.22, 0.55, 0.55, 0.55 
63, 207, 0.55, 0.22, 0.55, 0.55, 0.0 
64, 212, 2.0, 0.8602761306733886, 0.45986409259533795, 2.0, 2.0 
65, 213, 3.2198291718341316, 3.55, 3.55, 3.55, 3.55 
66, 213, 0.0, 0.0, 0.0, 0.55, 0.55 
67, 213, 0.0, 0.0, 0.0, 0.55, 0.0 
68, 213, 0.0, 0.0, 0.0, 0.0, 0.132 
69, 214, 0.0, 0.0, 0.0, 0.0, 0.0 
70, 215, 0.55, 0.55, 0.55, 0.55, 0.0 
71, 215, 0.0, 0.55, 0.55, 0.55, 0.0 
72, 215, 0.0, 0.0, 0.5, 0.023251861911739002, 0.5 
73, 215, 0.31899999999996, 0.15900000000000025, 0.5, 0.0, 0.5 
