Load Index, Load Bus,1, 2, 3, 4, 5
1, 101, 1.0, 1.0, 1.0, 1.0, 1.0 
2, 102, 1.0, 1.0, 1.0, 1.0, 1.0 
3, 103, 1.0, 1.0, 1.0, 1.0, 1.0 
4, 104, 1.0, 1.0, 1.0, 1.0, 1.0 
5, 105, 1.0, 1.0, 1.0, 1.0, 1.0 
6, 106, 1.0, 1.0, 1.0, 1.0, 1.0 
7, 107, 1.0, 1.0, 1.0, 1.0, 1.0 
8, 108, 1.0, 1.0, 1.0, 1.0, 1.0 
9, 109, 1.0, 1.0, 1.0, 1.0, 1.0 
10, 110, 1.0, 1.0, 1.0, 1.0, 1.0 
11, 113, 1.0, 1.0, 1.0, 1.0, 1.0 
12, 114, 0.0, 0.0, 1.0, 1.0, 1.0 
13, 115, 1.0, 1.0, 1.0, 1.0, 1.0 
14, 116, 1.0, 1.0, 1.0, 1.0, 1.0 
15, 118, 1.0, 1.0, 1.0, 1.0, 1.0 
16, 119, 1.0, 1.0, 1.0, 1.0, 1.0 
17, 120, 1.0, 1.0, 1.0, 1.0, 1.0 
18, 201, 1.0, 1.0, 1.0, 1.0, 1.0 
19, 202, 1.0, 1.0, 1.0, 1.0, 1.0 
20, 203, 0.0, 0.0, 0.0, 0.9857694388803299, 0.9857694388803299 
21, 204, 1.0, 1.0, 1.0, 1.0, 1.0 
22, 205, 1.0, 1.0, 1.0, 1.0, 1.0 
23, 206, 1.0, 1.0, 1.0, 1.0, 1.0 
24, 207, 1.0, 1.0, 1.0, 1.0, 1.0 
25, 208, 1.0, 1.0, 1.0, 1.0, 1.0 
26, 209, 1.0, 1.0, 1.0, 1.0, 1.0 
27, 210, 1.0, 1.0, 1.0, 1.0, 1.0 
28, 213, 0.0, 0.0, 0.0, 1.0, 1.0 
29, 214, 0.0, 1.0, 1.0, 1.0, 1.0 
30, 215, 1.0, 1.0, 1.0, 1.0, 1.0 
31, 216, 1.0, 1.0, 1.0, 1.0, 1.0 
32, 218, 1.0, 1.0, 1.0, 1.0, 1.0 
33, 219, 1.0, 1.0, 1.0, 1.0, 1.0 
34, 220, 1.0, 1.0, 1.0, 1.0, 1.0 
35, 301, 0.8796296296296297, 1.0, 1.0, 1.0, 1.0 
36, 302, 0.9793814432990807, 0.9793814432990805, 1.0, 1.0, 1.0 
37, 303, 1.0, 1.0, 1.0, 1.0, 1.0 
38, 304, 1.0, 1.0, 1.0, 1.0, 1.0 
39, 305, 1.0, 1.0, 1.0, 1.0, 1.0 
40, 306, 1.0, 1.0, 1.0, 1.0, 1.0 
41, 307, 1.0, 1.0, 1.0, 1.0, 1.0 
42, 308, 1.0, 1.0, 1.0, 1.0, 1.0 
43, 309, 1.0, 1.0, 1.0, 1.0, 1.0 
44, 310, 1.0, 1.0, 1.0, 1.0, 1.0 
45, 313, 1.0, 1.0, 1.0, 1.0, 1.0 
46, 314, 1.0, 1.0, 1.0, 1.0, 1.0 
47, 315, 1.0, 1.0, 1.0, 1.0, 1.0 
48, 316, 1.0, 1.0, 1.0, 1.0, 1.0 
49, 318, 1.0, 1.0, 1.0, 1.0, 1.0 
50, 319, 1.0, 1.0, 1.0, 1.0, 1.0 
51, 320, 1.0, 1.0, 1.0, 1.0, 1.0 
