Gen Index, Gen Bus, Upper Bound,1, 2, 3
1, 101, 20.0, 0.0,0.0,0.0 
2, 101, 20.0, 0.0,0.0,0.0 
3, 101, 76.0, 0.0,0.0,0.0 
4, 101, 76.0, 0.0,0.0,0.0 
5, 101, 25.900000000000002, 0.0,0.0,0.0 
6, 101, 26.700000000000003, 0.0,0.0,0.0 
7, 101, 26.200000000000003, 0.0,0.0,0.0 
8, 101, 25.8, 0.0,0.0,0.0 
9, 102, 20.0, 0.0,0.0,0.0 
10, 102, 20.0, 0.0,0.0,0.0 
11, 102, 76.0, 0.0,0.0,0.0 
12, 102, 76.0, 0.0,0.0,0.0 
13, 102, 25.6, 0.0,0.0,0.0 
14, 102, 25.3, 0.0,0.0,0.0 
15, 103, 61.5, 0.0,0.0,0.0 
16, 104, 26.8, 0.0,0.0,0.0 
17, 107, 355.0, 0.0,0.0,0.0 
18, 113, 55.00000000000001, 0.0,0.0,-1.0 
19, 113, 55.00000000000001, 0.0,0.0,-1.0 
20, 113, 55.00000000000001, 0.0,0.0,-1.0 
21, 113, 55.00000000000001, 0.0,0.0,-1.0 
22, 113, 93.6, 0.0,0.0,0.0 
23, 113, 0.0, 0.0,0.0,0.0 
24, 114, 0.0, 0.0,0.0,0.0 
25, 115, 12.0, 0.0,0.0,-0.0 
26, 115, 12.0, 0.0,0.0,-0.0 
27, 115, 155.0, 0.0,0.0,-2.0 
28, 116, 155.0, 0.0,0.0,155.0 
29, 118, 355.0, 0.0,0.0,-4.0 
30, 118, 9.3, 0.0,0.0,0.0 
31, 118, 9.7, 0.0,0.0,0.0 
32, 118, 9.4, 0.0,0.0,0.0 
33, 118, 9.1, 0.0,0.0,0.0 
34, 118, 9.1, 0.0,0.0,0.0 
35, 118, 9.7, 0.0,0.0,0.0 
36, 118, 11.8, 0.0,0.0,0.0 
37, 118, 11.2, 0.0,0.0,0.0 
38, 118, 10.3, 0.0,0.0,0.0 
39, 118, 4.5, 0.0,0.0,0.0 
40, 119, 66.6, 0.0,-0.0,0.0 
41, 121, 400.0, 0.0,0.0,-4.0 
42, 122, 50.0, 0.0,0.0,-0.0 
43, 122, 50.0, 0.0,0.0,-0.0 
44, 122, 50.0, 0.0,0.0,-0.0 
45, 122, 50.0, 0.0,0.0,-0.0 
46, 122, 50.0, 0.0,0.0,-0.0 
47, 122, 50.0, 0.0,0.0,-0.0 
48, 122, 713.5, 0.0,0.0,0.0 
49, 123, 155.0, 0.0,0.0,-2.0 
50, 123, 350.0, 0.0,0.0,-4.0 
51, 123, 55.00000000000001, 0.0,0.0,-1.0 
52, 123, 55.00000000000001, 0.0,0.0,-1.0 
53, 123, 55.00000000000001, 0.0,0.0,-1.0 
54, 201, 20.0, 0.0,0.0,0.0 
55, 201, 20.0, 0.0,0.0,0.0 
56, 201, 76.0, 0.0,0.0,0.0 
57, 201, 50.0, 0.0,0.0,0.0 
58, 202, 20.0, 0.0,0.0,0.0 
59, 202, 20.0, 0.0,0.0,0.0 
60, 202, 76.0, 0.0,0.0,0.0 
61, 202, 76.0, 0.0,0.0,0.0 
62, 207, 55.00000000000001, 0.0,0.0,0.0 
63, 207, 55.00000000000001, 0.0,0.0,0.0 
64, 212, 200.0, 0.0,0.0,0.0 
65, 213, 355.0, 0.0,0.0,-4.0 
66, 213, 55.00000000000001, 0.0,0.0,-1.0 
67, 213, 55.00000000000001, 0.0,0.0,-1.0 
68, 213, 13.200000000000001, 0.0,0.0,0.0 
69, 214, 0.0, 0.0,0.0,0.0 
70, 215, 55.00000000000001, 0.0,0.0,-1.0 
71, 215, 55.00000000000001, 0.0,0.0,-1.0 
72, 215, 50.0, 0.0,0.0,-0.0 
73, 215, 50.0, 0.0,0.0,-0.0 
74, 215, 50.0, 0.0,0.0,-0.0 
75, 215, 125.1, 0.0,0.0,0.0 
76, 216, 155.0, 0.0,0.0,-2.0 
77, 218, 355.0, 0.0,0.0,-4.0 
78, 221, 355.0, 0.0,0.0,-4.0 
79, 222, 50.0, 0.0,0.0,-0.0 
80, 222, 50.0, 0.0,0.0,-0.0 
81, 222, 50.0, 0.0,0.0,-0.0 
82, 222, 50.0, 0.0,0.0,-0.0 
83, 222, 50.0, 0.0,0.0,-0.0 
84, 222, 50.0, 0.0,0.0,-0.0 
85, 223, 155.0, 0.0,0.0,-2.0 
86, 223, 155.0, 0.0,0.0,-2.0 
87, 223, 350.0, 0.0,0.0,-4.0 
88, 223, 55.00000000000001, 0.0,0.0,-1.0 
89, 223, 55.00000000000001, 0.0,0.0,-1.0 
90, 223, 55.00000000000001, 0.0,0.0,-1.0 
91, 301, 20.0, 0.0,0.0,0.0 
92, 301, 20.0, 0.0,0.0,0.0 
93, 301, 55.00000000000001, 0.0,0.0,0.0 
94, 301, 55.00000000000001, 0.0,0.0,0.0 
95, 302, 20.0, 0.0,0.0,0.0 
96, 302, 20.0, 0.0,0.0,0.0 
97, 302, 55.00000000000001, 0.0,0.0,0.0 
98, 302, 55.00000000000001, 0.0,0.0,0.0 
99, 303, 847.0000000000001, 0.0,0.0,0.0 
100, 307, 55.00000000000001, 0.0,0.0,0.0 
101, 307, 55.00000000000001, 0.0,0.0,0.0 
102, 308, 100.9, 0.0,0.0,0.0 
103, 309, 148.3, 0.0,0.0,0.0 
104, 310, 51.7, 0.0,0.0,0.0 
105, 310, 51.6, 0.0,0.0,0.0 
106, 312, 94.1, 0.0,0.0,0.0 
107, 313, 355.0, 0.0,0.0,-4.0 
108, 313, 95.1, 0.0,0.0,0.0 
109, 313, 93.3, 0.0,0.0,0.0 
110, 313, 101.70000000000002, 0.0,0.0,0.0 
111, 313, 63.1, 0.0,0.0,0.0 
112, 313, 65.4, 0.0,0.0,0.0 
113, 313, 67.0, 0.0,0.0,0.0 
114, 313, 64.8, 0.0,0.0,0.0 
115, 313, 63.800000000000004, 0.0,0.0,0.0 
116, 313, 64.1, 0.0,0.0,0.0 
117, 313, 66.6, 0.0,0.0,0.0 
118, 313, 62.4, 0.0,0.0,0.0 
119, 313, 66.9, 0.0,0.0,0.0 
120, 313, 65.2, 0.0,0.0,0.0 
121, 313, 27.800000000000004, 0.0,0.0,0.0 
122, 313, 27.200000000000003, 0.0,0.0,0.0 
123, 313, 50.0, 0.0,0.0,0.0 
124, 314, 0.0, 0.0,0.0,0.0 
125, 314, 51.6, 0.0,0.0,0.0 
126, 314, 51.6, 0.0,0.0,0.0 
127, 314, 92.7, 0.0,0.0,0.0 
128, 314, 51.6, 0.0,0.0,0.0 
129, 315, 12.0, 0.0,0.0,-0.0 
