Gen Index, Gen Bus, Upper Bound,1, 2, 3
1, 101, 10.0, 0.0,0.0,0.0 
2, 101, 10.0, 0.0,0.0,0.0 
3, 101, 30.0, 0.0,0.0,0.0 
4, 101, 30.0, 0.0,0.0,0.0 
5, 101, 0.0, 0.0,0.0,0.0 
6, 101, 0.0, 0.0,0.0,0.0 
7, 101, 0.0, 0.0,0.0,0.0 
8, 101, 0.0, 0.0,0.0,0.0 
9, 102, 10.0, 0.0,0.0,0.0 
10, 102, 10.0, 0.0,0.0,0.0 
11, 102, 30.0, 0.0,0.0,0.0 
12, 102, 30.0, 0.0,0.0,0.0 
13, 102, 0.0, 0.0,0.0,0.0 
14, 102, 0.0, 0.0,0.0,0.0 
15, 103, 0.0, 0.0,0.0,0.0 
16, 104, 0.0, 0.0,0.0,0.0 
17, 107, 150.0, 0.0,0.0,0.0 
18, 113, 19.0, 0.0,0.0,-15.0 
19, 113, 19.0, 0.0,0.0,-15.0 
20, 113, 19.0, 0.0,0.0,19.0 
21, 113, 19.0, 0.0,0.0,-15.0 
22, 113, 0.0, 0.0,0.0,0.0 
23, 113, 0.0, 0.0,0.0,0.0 
24, 114, 200.0, 0.0,-7.0,200.0 
25, 115, 6.0, 0.0,0.0,6.0 
26, 115, 6.0, 0.0,0.0,0.0 
27, 115, 80.0, 0.0,0.0,-50.0 
28, 116, 80.0, 0.0,0.0,-36.0 
29, 118, 150.0, 0.0,0.0,106.0 
30, 118, 0.0, 0.0,0.0,0.0 
31, 118, 0.0, 0.0,0.0,0.0 
32, 118, 0.0, 0.0,0.0,0.0 
33, 118, 0.0, 0.0,0.0,0.0 
34, 118, 0.0, 0.0,0.0,0.0 
35, 118, 0.0, 0.0,0.0,0.0 
36, 118, 0.0, 0.0,0.0,0.0 
37, 118, 0.0, 0.0,0.0,0.0 
38, 118, 0.0, 0.0,0.0,0.0 
39, 118, 0.0, 0.0,0.0,0.0 
40, 119, 0.0, 0.0,0.0,0.0 
41, 121, 200.0, 0.0,0.0,-50.0 
42, 122, 16.0, 0.0,0.0,-10.0 
43, 122, 16.0, 0.0,0.0,16.0 
44, 122, 16.0, 0.0,0.0,16.0 
45, 122, 16.0, 0.0,0.0,-10.0 
46, 122, 16.0, 0.0,0.0,-10.0 
47, 122, 16.0, 0.0,0.0,16.0 
48, 122, 0.0, 0.0,0.0,0.0 
49, 123, 80.0, 0.0,0.0,-50.0 
50, 123, 150.0, 0.0,0.0,-25.0 
51, 123, 19.0, 0.0,0.0,-15.0 
52, 123, 19.0, 0.0,0.0,-15.0 
53, 123, 19.0, 0.0,0.0,19.0 
54, 201, 10.0, 0.0,0.0,0.0 
55, 201, 10.0, 0.0,0.0,0.0 
56, 201, 30.0, 0.0,0.0,0.0 
57, 201, 16.0, 0.0,0.0,0.0 
58, 202, 10.0, 0.0,0.0,0.0 
59, 202, 10.0, 0.0,0.0,0.0 
60, 202, 30.0, 0.0,0.0,0.0 
61, 202, 30.0, 0.0,0.0,0.0 
62, 207, 19.0, 0.0,0.0,0.0 
63, 207, 19.0, 0.0,0.0,0.0 
64, 212, 0.0, 0.0,0.0,0.0 
65, 213, 150.0, 0.0,0.0,150.0 
66, 213, 19.0, 0.0,0.0,-15.0 
67, 213, 19.0, 0.0,0.0,-15.0 
68, 213, 0.0, 0.0,0.0,0.0 
69, 214, 200.0, 0.0,28.0,-50.0 
70, 215, 19.0, 0.0,0.0,-15.0 
