Bus Index,1, 2, 3
101, 0.0,-0.0,0.0 
102, 0.0,-0.0,-0.0 
103, -0.0,0.0,0.0 
104, 0.0,0.0,0.0 
105, 0.0,-0.0,0.0 
106, 0.0,0.0,-0.0 
107, -0.0,-0.0,-0.0 
108, 0.0,0.0,-0.0 
109, 0.0,0.0,1.0 
110, 0.0,0.0,1.0 
111, 0.0,1.0,1.0 
112, 0.0,0.0,-0.0 
113, 0.0,-0.0,1.0 
114, 1.0,1.0,1.0 
115, -0.0,-0.0,1.0 
116, 1.0,1.0,1.0 
117, 0.0,0.0,0.0 
118, -0.0,-0.0,1.0 
119, 0.0,0.0,0.0 
120, 0.0,0.0,0.0 
121, -0.0,-0.0,1.0 
122, -0.0,-0.0,1.0 
123, 0.0,-0.0,1.0 
124, 0.0,0.0,0.0 
201, 0.0,0.0,-0.0 
202, 0.0,0.0,-0.0 
203, 0.0,0.0,-0.0 
204, 0.0,0.0,-0.0 
205, 0.0,0.0,0.0 
206, 0.0,0.0,0.0 
207, 0.0,0.0,-0.0 
208, 0.0,0.0,0.0 
209, 0.0,0.0,1.0 
210, 0.0,0.0,1.0 
211, 0.0,1.0,1.0 
212, 0.0,0.0,0.0 
213, -0.0,-0.0,1.0 
214, 1.0,1.0,1.0 
215, -0.0,-0.0,1.0 
216, -0.0,-0.0,1.0 
217, 0.0,0.0,0.0 
218, -0.0,-0.0,1.0 
219, 0.0,0.0,-0.0 
220, 0.0,0.0,0.0 
221, -0.0,-0.0,1.0 
222, -0.0,-0.0,1.0 
223, 0.0,-0.0,1.0 
224, 0.0,0.0,0.0 
301, -0.0,0.0,0.0 
302, 0.0,0.0,0.0 
303, -0.0,0.0,0.0 
304, 0.0,-0.0,0.0 
305, 0.0,0.0,0.0 
306, 0.0,0.0,0.0 
307, -0.0,-0.0,-0.0 
308, 0.0,0.0,0.0 
309, 0.0,0.0,-0.0 
310, 0.0,0.0,0.0 
311, 0.0,-0.0,0.0 
312, 0.0,-0.0,-0.0 
313, 0.0,0.0,0.0 
314, 0.0,0.0,-0.0 
315, -0.0,-0.0,1.0 
316, 1.0,1.0,1.0 
317, -0.0,-0.0,-0.0 
318, -0.0,-0.0,1.0 
319, 0.0,0.0,0.0 
320, 0.0,0.0,0.0 
321, -0.0,-0.0,1.0 
322, -0.0,-0.0,1.0 
323, -0.0,-0.0,1.0 
324, -0.0,0.0,0.0 
325, 0.0,0.0,0.0 
1001, -0.0,-0.0,-0.0 
1002, -0.0,-0.0,-0.0 
1003, 0.0,0.0,-0.0 
1004, 0.0,0.0,-0.0 
1005, -0.0,-0.0,-0.0 
