Gen Index, Gen Bus,1, 2, 3
1, 101, -0.0,-0.0,-0.0 
2, 101, -0.0,-0.0,-0.0 
3, 101, -0.0,-0.0,-0.0 
4, 101, -0.0,-0.0,-0.0 
5, 101, 0.0,0.0,0.0 
6, 101, -0.0,-0.0,-0.0 
7, 101, -0.0,-0.0,-0.0 
8, 101, -0.0,-0.0,-0.0 
9, 102, -0.0,-0.0,-0.0 
10, 102, -0.0,-0.0,-0.0 
11, 102, 0.0,0.0,0.0 
12, 102, -0.0,-0.0,-0.0 
13, 102, -0.0,-0.0,-0.0 
14, 102, -0.0,-0.0,-0.0 
15, 103, 0.0,0.0,0.0 
16, 104, 0.0,0.0,0.0 
17, 107, 0.0,0.0,0.0 
18, 113, -0.0,-0.0,1.0 
19, 113, -0.0,-0.0,1.0 
20, 113, -0.0,-0.0,1.0 
21, 113, 0.0,0.0,1.0 
22, 113, -0.0,-0.0,-0.0 
23, 113, 1.0,1.0,1.0 
24, 114, 1.0,1.0,1.0 
25, 115, -0.0,-0.0,1.0 
26, 115, 0.0,0.0,1.0 
27, 115, -0.0,-0.0,1.0 
28, 116, 1.0,1.0,1.0 
29, 118, 0.0,0.0,1.0 
30, 118, -0.0,0.0,-0.0 
31, 118, -0.0,0.0,-0.0 
32, 118, -0.0,0.0,-0.0 
33, 118, -0.0,0.0,-0.0 
34, 118, -0.0,0.0,-0.0 
35, 118, -0.0,0.0,-0.0 
36, 118, -0.0,0.0,-0.0 
37, 118, -0.0,0.0,-0.0 
38, 118, -0.0,0.0,-0.0 
39, 118, -0.0,0.0,-0.0 
40, 119, 0.0,0.0,0.0 
41, 121, 0.0,0.0,1.0 
42, 122, -0.0,-0.0,1.0 
43, 122, -0.0,-0.0,1.0 
44, 122, 0.0,0.0,1.0 
45, 122, -0.0,-0.0,1.0 
46, 122, -0.0,-0.0,1.0 
47, 122, -0.0,-0.0,1.0 
48, 122, -0.0,-0.0,-0.0 
49, 123, 0.0,0.0,1.0 
50, 123, -0.0,-0.0,1.0 
51, 123, -0.0,-0.0,1.0 
52, 123, -0.0,-0.0,1.0 
53, 123, -0.0,-0.0,1.0 
54, 201, -0.0,0.0,-0.0 
55, 201, -0.0,-0.0,-0.0 
56, 201, -0.0,-0.0,0.0 
57, 201, 0.0,0.0,0.0 
58, 202, -0.0,-0.0,-0.0 
59, 202, -0.0,-0.0,-0.0 
60, 202, 0.0,0.0,0.0 
61, 202, -0.0,-0.0,-0.0 
62, 207, 0.0,0.0,0.0 
63, 207, 0.0,-0.0,-0.0 
64, 212, 0.0,0.0,0.0 
65, 213, -0.0,-0.0,1.0 
66, 213, 0.0,0.0,1.0 
67, 213, -0.0,-0.0,1.0 
68, 213, -0.0,0.0,-0.0 
69, 214, 1.0,1.0,1.0 
70, 215, -0.0,-0.0,1.0 
71, 215, -0.0,-0.0,1.0 
72, 215, -0.0,-0.0,1.0 
73, 215, -0.0,-0.0,1.0 
74, 215, 0.0,0.0,1.0 
75, 215, -0.0,-0.0,-0.0 
76, 216, 0.0,0.0,1.0 
77, 218, 0.0,0.0,1.0 
78, 221, 0.0,0.0,1.0 
79, 222, -0.0,-0.0,1.0 
80, 222, -0.0,-0.0,1.0 
81, 222, -0.0,-0.0,1.0 
82, 222, -0.0,-0.0,1.0 
83, 222, -0.0,-0.0,1.0 
84, 222, 0.0,0.0,1.0 
85, 223, 0.0,-0.0,1.0 
86, 223, -0.0,-0.0,1.0 
87, 223, -0.0,-0.0,1.0 
88, 223, 0.0,0.0,1.0 
89, 223, -0.0,-0.0,1.0 
90, 223, -0.0,-0.0,1.0 
91, 301, -0.0,0.0,-0.0 
92, 301, -0.0,0.0,-0.0 
93, 301, 0.0,0.0,0.0 
94, 301, -0.0,-0.0,-0.0 
95, 302, -0.0,0.0,-0.0 
96, 302, 0.0,0.0,0.0 
97, 302, -0.0,-0.0,-0.0 
98, 302, -0.0,-0.0,-0.0 
99, 303, 0.0,0.0,0.0 
100, 307, 0.0,0.0,0.0 
101, 307, -0.0,-0.0,-0.0 
102, 308, 0.0,0.0,0.0 
103, 309, 0.0,0.0,0.0 
104, 310, -0.0,-0.0,-0.0 
105, 310, 0.0,0.0,0.0 
106, 312, 0.0,0.0,0.0 
107, 313, -0.0,-0.0,1.0 
108, 313, -0.0,-0.0,-0.0 
109, 313, -0.0,-0.0,-0.0 
110, 313, -0.0,-0.0,-0.0 
111, 313, -0.0,-0.0,-0.0 
112, 313, -0.0,-0.0,-0.0 
113, 313, -0.0,-0.0,-0.0 
114, 313, 0.0,0.0,0.0 
115, 313, -0.0,-0.0,-0.0 
116, 313, -0.0,-0.0,-0.0 
117, 313, -0.0,-0.0,-0.0 
118, 313, -0.0,-0.0,-0.0 
119, 313, -0.0,-0.0,-0.0 
120, 313, -0.0,-0.0,-0.0 
121, 313, -0.0,-0.0,-0.0 
122, 313, -0.0,-0.0,-0.0 
123, 313, -0.0,-0.0,-0.0 
124, 314, 1.0,1.0,1.0 
125, 314, 0.0,0.0,0.0 
126, 314, -0.0,-0.0,-0.0 
127, 314, -0.0,-0.0,-0.0 
128, 314, -0.0,-0.0,-0.0 
129, 315, -0.0,-0.0,1.0 
130, 315, -0.0,-0.0,1.0 
131, 315, -0.0,-0.0,1.0 
132, 315, -0.0,-0.0,1.0 
133, 315, -0.0,-0.0,1.0 
134, 315, 0.0,0.0,1.0 
135, 315, -0.0,-0.0,1.0 
136, 315, -0.0,-0.0,1.0 
137, 316, 1.0,1.0,1.0 
138, 316, 1.0,1.0,1.0 
139, 317, 0.0,0.0,0.0 
140, 318, 0.0,0.0,1.0 
141, 319, 0.0,0.0,0.0 
142, 320, -0.0,-0.0,-0.0 
