Load Index, Bus Index, Nominal Value,1, 2, 3
1, 1, 97.6, 0.0,0.0,0.0 
2, 3, 322.0, 0.0,0.0,0.0 
3, 4, 500.0, 0.0,0.0,0.0 
4, 7, 233.8, 0.0,0.0,0.0 
5, 8, 522.0, 0.0,0.0,264.0 
6, 9, 6.5, 0.0,0.0,7.0 
7, 12, 8.53, 0.0,0.0,0.0 
8, 15, 320.0, 0.0,0.0,0.0 
9, 16, 329.0, 0.0,0.0,0.0 
10, 18, 158.0, 0.0,0.0,0.0 
11, 20, 680.0, 0.0,0.0,0.0 
12, 21, 274.0, 0.0,0.0,0.0 
13, 23, 247.5, 0.0,0.0,0.0 
14, 24, 308.6, 0.0,0.0,0.0 
15, 25, 224.00000000000003, 0.0,0.0,0.0 
16, 26, 139.0, 0.0,0.0,0.0 
17, 27, 281.0, 0.0,0.0,0.0 
18, 28, 206.0, 0.0,0.0,0.0 
19, 29, 283.5, 0.0,0.0,0.0 
20, 31, 9.2, 0.0,0.0,0.0 
