Branch Index, From/To, To/From, 1, 2, 3
(1, 1, 2), 0.0,0.0,-77.0 
(1, 2, 1), 0.0,0.0,0.0 
(2, 1, 39), 0.0,0.0,33.0 
(2, 39, 1), 0.0,0.0,-113.0 
(3, 2, 3), 0.0,0.0,0.0 
(3, 3, 2), 0.0,0.0,0.0 
(4, 2, 25), 0.0,0.0,0.0 
(4, 25, 2), 0.0,0.0,0.0 
(5, 2, 30), 0.0,0.0,0.0 
(5, 30, 2), 0.0,0.0,0.0 
(6, 3, 4), 0.0,0.0,0.0 
(6, 4, 3), 0.0,0.0,0.0 
(7, 3, 18), 0.0,0.0,0.0 
(7, 18, 3), 0.0,0.0,0.0 
(8, 4, 5), 0.0,0.0,0.0 
(8, 5, 4), 0.0,0.0,0.0 
(9, 4, 14), 0.0,0.0,0.0 
(9, 14, 4), 0.0,0.0,0.0 
(10, 5, 6), 0.0,0.0,0.0 
(10, 6, 5), 0.0,0.0,0.0 
(11, 5, 8), 0.0,0.0,0.0 
(11, 8, 5), 0.0,0.0,0.0 
(12, 6, 7), 0.0,0.0,0.0 
(12, 7, 6), 0.0,0.0,0.0 
(13, 6, 11), 0.0,0.0,0.0 
(13, 11, 6), 0.0,0.0,0.0 
(14, 6, 31), 0.0,0.0,0.0 
(14, 31, 6), 0.0,0.0,0.0 
(15, 7, 8), 0.0,0.0,0.0 
(15, 8, 7), 0.0,0.0,0.0 
(16, 8, 9), 0.0,0.0,-172.0 
(16, 9, 8), 0.0,0.0,136.0 
(17, 9, 39), 0.0,0.0,-136.0 
(17, 39, 9), 0.0,0.0,13.0 
(18, 10, 11), 0.0,0.0,0.0 
(18, 11, 10), 0.0,0.0,0.0 
(19, 10, 13), 0.0,0.0,0.0 
(19, 13, 10), 0.0,0.0,0.0 
(20, 10, 32), 0.0,0.0,0.0 
(20, 32, 10), 0.0,0.0,0.0 
(21, 11, 12), 0.0,0.0,0.0 
(21, 12, 11), 0.0,0.0,0.0 
(22, 12, 13), 0.0,0.0,0.0 
(22, 13, 12), 0.0,0.0,0.0 
(23, 13, 14), 0.0,0.0,0.0 
(23, 14, 13), 0.0,0.0,0.0 
(24, 14, 15), 0.0,0.0,0.0 
(24, 15, 14), 0.0,0.0,0.0 
(25, 15, 16), 0.0,0.0,0.0 
(25, 16, 15), 0.0,0.0,0.0 
(26, 16, 17), 0.0,0.0,0.0 
(26, 17, 16), 0.0,0.0,0.0 
(27, 16, 19), 0.0,0.0,0.0 
(27, 19, 16), 0.0,0.0,0.0 
(28, 16, 21), 0.0,0.0,0.0 
(28, 21, 16), 0.0,0.0,0.0 
(29, 16, 24), 0.0,0.0,0.0 
(29, 24, 16), 0.0,0.0,0.0 
(30, 17, 18), 0.0,0.0,0.0 
(30, 18, 17), 0.0,0.0,0.0 
(31, 17, 27), 0.0,0.0,0.0 
(31, 27, 17), 0.0,0.0,0.0 
(32, 19, 20), 0.0,0.0,0.0 
(32, 20, 19), 0.0,0.0,0.0 
(33, 19, 33), 0.0,0.0,0.0 
(33, 33, 19), 0.0,0.0,0.0 
(34, 20, 34), 0.0,0.0,0.0 
(34, 34, 20), 0.0,0.0,0.0 
(35, 21, 22), 0.0,0.0,0.0 
(35, 22, 21), 0.0,0.0,0.0 
(36, 22, 23), 0.0,0.0,0.0 
(36, 23, 22), 0.0,0.0,0.0 
(37, 22, 35), 0.0,0.0,0.0 
(37, 35, 22), 0.0,0.0,0.0 
(38, 23, 24), 0.0,0.0,0.0 
(38, 24, 23), 0.0,0.0,0.0 
(39, 23, 36), 0.0,0.0,0.0 
(39, 36, 23), 0.0,0.0,0.0 
(40, 25, 26), 0.0,0.0,0.0 
(40, 26, 25), 0.0,0.0,0.0 
(41, 25, 37), 0.0,0.0,0.0 
(41, 37, 25), 0.0,0.0,0.0 
(42, 26, 27), 0.0,0.0,0.0 
(42, 27, 26), 0.0,0.0,0.0 
(43, 26, 28), 0.0,0.0,0.0 
(43, 28, 26), 0.0,0.0,0.0 
(44, 26, 29), 0.0,0.0,0.0 
(44, 29, 26), 0.0,0.0,0.0 
(45, 28, 29), 0.0,0.0,0.0 
(45, 29, 28), 0.0,0.0,0.0 
(46, 29, 38), 0.0,0.0,0.0 
(46, 38, 29), 0.0,0.0,0.0 
