,from_bus,Latitude_from_bus,Longitude_from_bus,to_bus,Latitude_to_bus,Longitude_to_bus
0,67.0,45.606833,-121.11478500000001,68.0,45.806833000000005,-122.11378500000001
1,68.0,45.806833000000005,-122.11378500000001,75.0,45.813936,-120.69228600000001
2,68.0,45.806833000000005,-122.11378500000001,71.0,45.595416,-121.114202
3,114.0,39.555494,-121.644407,124.0,40.754689,-121.935718
4,123.0,40.807689,-121.935718,124.0,40.754689,-121.935718
5,2.0,34.938385,-110.303798,7.0,36.787401,-108.58456899999999
6,1.0,34.56004,-109.27731299999999,2.0,34.938385,-110.303798
7,88.0,42.43835,-121.216546,89.0,42.93835,-121.116546
8,85.0,43.013135,-120.956476,89.0,42.93835,-121.116546
9,157.0,39.177375,-111.028737,158.0,39.177375,-111.07973700000001
10,85.0,43.013135,-120.956476,87.0,43.55835,-120.97483999999999
11,85.0,43.013135,-120.956476,179.0,43.68573,-118.87463000000001
12,169.0,41.906859999999995,-121.216546,170.0,41.80186,-121.216546
13,113.0,40.908689,-121.935718,170.0,41.80186,-121.216546
14,160.0,41.7585,-110.6005,161.0,41.7055,-110.555
15,156.0,41.239578,-112.048172,160.0,41.7585,-110.6005
16,66.0,45.514571000000004,-122.68128899999999,67.0,45.606833,-121.11478500000001
17,118.0,38.656721000000005,-121.23978999999999,181.0,39.056721,-121.23978999999999
18,29.0,49.769314,-122.15089499999999,30.0,50.969314000000004,-122.15089499999999
19,131.0,38.054721,-121.18378999999999,132.0,37.954721,-121.13078999999999
20,118.0,38.656721000000005,-121.23978999999999,131.0,38.054721,-121.18378999999999
21,155.0,41.338578000000005,-112.048172,166.0,40.757317,-112.007263
22,155.0,41.338578000000005,-112.048172,156.0,41.239578,-112.048172
23,84.0,42.731919,-114.419206,155.0,41.338578000000005,-112.048172
24,154.0,40.469158,-111.94771499999999,155.0,41.338578000000005,-112.048172
25,7.0,36.787401,-108.58456899999999,8.0,36.687401,-108.48666899999999
26,74.0,46.51144,-112.88531,180.0,46.41144,-112.88531
27,74.0,46.51144,-112.88531,77.0,46.669335,-119.571501
28,74.0,46.51144,-112.88531,75.0,45.813936,-120.69228600000001
29,72.0,45.891161,-106.612578,74.0,46.51144,-112.88531
30,95.0,43.55835,-121.033484,96.0,43.04835,-121.05348400000001
31,94.0,44.06835,-121.013484,95.0,43.55835,-121.033484
32,111.0,40.707689,-121.935718,112.0,40.806689,-121.935718
33,90.0,44.06835,-121.11548400000001,91.0,43.55835,-121.135484
34,81.0,44.48235,-121.019484,90.0,44.06835,-121.11548400000001
35,78.0,47.954899,-120.997945,79.0,47.624154,-122.21949199999999
36,159.0,39.809556,-111.90869099999999,165.0,38.843763,-111.994022
37,154.0,40.469158,-111.94771499999999,159.0,39.809556,-111.90869099999999
38,4.0,40.5152473,-107.54645500000001,159.0,39.809556,-111.90869099999999
39,157.0,39.177375,-111.028737,159.0,39.809556,-111.90869099999999
40,43.0,39.548159999999996,-112.52797,159.0,39.809556,-111.90869099999999
41,31.0,51.979314,-122.15089499999999,32.0,52.481674,-121.61684
42,30.0,50.969314000000004,-122.15089499999999,31.0,51.979314,-122.15089499999999
43,112.0,40.806689,-121.935718,113.0,40.908689,-121.935718
44,100.0,40.398031,-122.263453,112.0,40.806689,-121.935718
45,67.0,45.606833,-121.11478500000001,70.0,45.596416,-121.112202
46,70.0,45.596416,-121.112202,71.0,45.595416,-121.114202
47,33.0,54.973192000000004,-121.924221,34.0,56.276212,-122.2137
48,32.0,52.481674,-121.61684,33.0,54.973192000000004,-121.924221
49,121.0,39.11745,-122.276225,122.0,39.06745,-122.276225
50,120.0,39.16745,-122.276225,121.0,39.11745,-122.276225
51,67.0,45.606833,-121.11478500000001,69.0,44.89,-123.29
52,114.0,39.555494,-121.644407,129.0,39.555494,-121.74440700000001
53,114.0,39.555494,-121.644407,127.0,39.555494,-121.64040700000001
54,114.0,39.555494,-121.644407,126.0,40.654689000000005,-121.88071799999999
55,113.0,40.908689,-121.935718,114.0,39.555494,-121.644407
56,157.0,39.177375,-111.028737,165.0,38.843763,-111.994022
57,96.0,43.04835,-121.05348400000001,97.0,42.53835,-121.07348400000001
58,154.0,40.469158,-111.94771499999999,166.0,40.757317,-112.007263
59,118.0,38.656721000000005,-121.23978999999999,133.0,37.854721000000005,-121.23778999999999
60,35.0,41.734596,-108.79042700000001,84.0,42.731919,-114.419206
61,125.0,40.707689,-121.88071799999999,126.0,40.654689000000005,-121.88071799999999
62,113.0,40.908689,-121.935718,125.0,40.707689,-121.88071799999999
63,171.0,41.906859999999995,-121.411546,172.0,41.80686,-121.411546
64,110.0,39.23745,-122.276225,172.0,41.80686,-121.411546
65,83.0,42.834919,-114.419206,98.0,43.620189,-118.86588200000001
66,83.0,42.834919,-114.419206,84.0,42.731919,-114.419206
67,129.0,39.555494,-121.74440700000001,130.0,39.501494,-121.74440700000001
68,118.0,38.656721000000005,-121.23978999999999,130.0,39.501494,-121.74440700000001
69,16.0,36.805571,-108.443555,17.0,36.804154,-108.541191
70,65.0,46.565672,-106.60906000000001,77.0,46.669335,-119.571501
71,64.0,46.064671999999995,-106.60906000000001,65.0,46.565672,-106.60906000000001
72,43.0,39.548159999999996,-112.52797,44.0,39.496159999999996,-112.57797
73,4.0,40.5152473,-107.54645500000001,10.0,40.487041,-107.185575
74,4.0,40.5152473,-107.54645500000001,16.0,36.805571,-108.443555
75,4.0,40.5152473,-107.54645500000001,5.0,40.4142473,-107.54645500000001
76,110.0,39.23745,-122.276225,119.0,39.21745,-122.276225
77,127.0,39.555494,-121.64040700000001,128.0,39.501494,-121.64040700000001
78,113.0,40.908689,-121.935718,168.0,41.80186,-121.316546
79,167.0,41.906859999999995,-121.316546,168.0,41.80186,-121.316546
80,86.0,44.06835,-120.99484,87.0,43.55835,-120.97483999999999
81,81.0,44.48235,-121.019484,86.0,44.06835,-120.99484
82,117.0,38.906721000000005,-121.27378999999999,118.0,38.656721000000005,-121.23978999999999
83,99.0,39.120428000000004,-122.22363100000001,116.0,38.406721000000005,-121.10878999999998
84,99.0,39.120428000000004,-122.22363100000001,100.0,40.398031,-122.263453
85,92.0,43.04835,-121.155484,93.0,42.53835,-121.17548400000001
86,82.0,42.006859999999996,-121.316546,93.0,42.53835,-121.17548400000001
87,81.0,44.48235,-121.019484,94.0,44.06835,-121.013484
88,105.0,39.539598,-122.262993,116.0,38.406721000000005,-121.10878999999998
89,100.0,40.398031,-122.263453,105.0,39.539598,-122.262993
90,1.0,34.56004,-109.27731299999999,3.0,34.66004,-109.77731299999999
91,115.0,37.954721,-121.18378999999999,116.0,38.406721000000005,-121.10878999999998
92,30.0,50.969314000000004,-122.15089499999999,79.0,47.624154,-122.21949199999999
93,77.0,46.669335,-119.571501,79.0,47.624154,-122.21949199999999
94,73.0,47.954899,-118.997945,77.0,46.669335,-119.571501
95,75.0,45.813936,-120.69228600000001,77.0,46.669335,-119.571501
96,80.0,43.68473,-118.77463,179.0,43.68573,-118.87463000000001
97,80.0,43.68473,-118.77463,98.0,43.620189,-118.86588200000001
98,82.0,42.006859999999996,-121.316546,171.0,41.906859999999995,-121.411546
