Branch Index, From/To, To/From, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0
(1, 2, 7), 0.0,0.0,0.0,0.0,0.0,0.0 
(1, 7, 2), 0.0,0.0,0.0,0.0,0.0,0.0 
(2, 2, 7), 0.0,0.0,0.0,0.0,0.0,0.0 
(2, 7, 2), 0.0,0.0,0.0,0.0,0.0,0.0 
(3, 4, 16), 0.0,0.0,0.0,0.0,0.0,0.0 
(3, 16, 4), 0.0,0.0,0.0,0.0,0.0,0.0 
(4, 4, 16), 0.0,0.0,0.0,0.0,0.0,0.0 
(4, 16, 4), 0.0,0.0,0.0,0.0,0.0,0.0 
(5, 4, 159), 0.0,0.0,0.0,0.0,0.0,0.0 
(5, 159, 4), 0.0,0.0,0.0,0.0,0.0,0.0 
(6, 6, 27), 0.0,0.0,0.0,0.0,0.0,0.0 
(6, 27, 6), 0.0,0.0,0.0,0.0,0.0,0.0 
(7, 6, 27), 0.0,0.0,0.0,0.0,0.0,0.0 
(7, 27, 6), 0.0,0.0,0.0,0.0,0.0,0.0 
(8, 7, 16), 0.0,0.0,0.0,0.0,0.0,0.0 
(8, 16, 7), 0.0,0.0,0.0,0.0,0.0,0.0 
(9, 7, 16), 0.0,0.0,0.0,0.0,0.0,0.0 
(9, 16, 7), 0.0,0.0,0.0,0.0,0.0,0.0 
(10, 7, 162), 0.0,0.0,0.0,0.0,0.0,0.0 
(10, 162, 7), 0.0,0.0,0.0,0.0,0.0,0.0 
(11, 11, 19), 0.0,0.0,0.0,0.0,0.0,0.0 
(11, 19, 11), 0.0,0.0,0.0,0.0,0.0,0.0 
(12, 11, 21), 0.0,0.0,0.0,0.0,761.0,1509.0 
(12, 21, 11), 0.0,0.0,0.0,0.0,-761.0,-1509.0 
(13, 11, 138), 0.0,0.0,1033.0,2508.0,2122.0,212.0 
(13, 138, 11), 0.0,-0.0,-1033.0,-2508.0,-2122.0,-212.0 
(14, 13, 20), 0.0,0.0,0.0,0.0,0.0,0.0 
(14, 20, 13), 0.0,0.0,0.0,0.0,0.0,0.0 
(15, 13, 23), 0.0,0.0,0.0,0.0,0.0,0.0 
(15, 23, 13), 0.0,0.0,0.0,0.0,0.0,0.0 
(16, 13, 25), 0.0,0.0,0.0,0.0,0.0,0.0 
(16, 25, 13), 0.0,0.0,0.0,0.0,0.0,0.0 
(17, 13, 28), 0.0,0.0,0.0,0.0,0.0,0.0 
(17, 28, 13), 0.0,0.0,0.0,0.0,0.0,0.0 
(18, 13, 28), 0.0,0.0,0.0,0.0,0.0,0.0 
(18, 28, 13), 0.0,0.0,0.0,0.0,-0.0,0.0 
(19, 15, 18), 0.0,0.0,0.0,0.0,-72.0,-446.0 
(19, 18, 15), 0.0,0.0,0.0,0.0,72.0,446.0 
(20, 15, 18), 0.0,0.0,0.0,0.0,-72.0,-446.0 
(20, 18, 15), 0.0,0.0,0.0,0.0,72.0,446.0 
(21, 15, 135), 0.0,0.0,0.0,0.0,0.0,0.0 
(21, 135, 15), 0.0,0.0,0.0,0.0,0.0,0.0 
(22, 15, 135), 0.0,0.0,0.0,0.0,0.0,0.0 
(22, 135, 15), 0.0,0.0,0.0,0.0,0.0,0.0 
(23, 18, 22), 0.0,0.0,0.0,0.0,-761.0,-1509.0 
(23, 22, 18), 0.0,0.0,0.0,0.0,761.0,1509.0 
(24, 18, 24), 0.0,0.0,0.0,0.0,0.0,0.0 
(24, 24, 18), 0.0,0.0,0.0,0.0,0.0,0.0 
(25, 19, 20), 0.0,0.0,0.0,0.0,0.0,0.0 
(25, 20, 19), 0.0,0.0,0.0,0.0,-0.0,0.0 
(26, 21, 22), 0.0,0.0,0.0,0.0,761.0,1509.0 
(26, 22, 21), 0.0,0.0,0.0,0.0,-761.0,-1509.0 
(27, 23, 24), 0.0,0.0,0.0,0.0,0.0,0.0 
(27, 24, 23), 0.0,0.0,0.0,0.0,0.0,0.0 
(28, 25, 26), 0.0,0.0,0.0,0.0,0.0,0.0 
(28, 26, 25), 0.0,0.0,0.0,0.0,0.0,0.0 
(29, 26, 138), 0.0,0.0,0.0,0.0,0.0,0.0 
(29, 138, 26), 0.0,0.0,0.0,0.0,0.0,0.0 
(30, 27, 28), 0.0,0.0,0.0,0.0,0.0,0.0 
(30, 28, 27), 0.0,0.0,0.0,0.0,0.0,0.0 
(31, 27, 28), 0.0,0.0,0.0,0.0,0.0,-0.0 
(31, 28, 27), 0.0,0.0,0.0,0.0,0.0,-0.0 
(32, 30, 31), 0.0,0.0,0.0,0.0,0.0,0.0 
(32, 31, 30), 0.0,0.0,0.0,0.0,0.0,0.0 
(33, 30, 31), 0.0,0.0,0.0,0.0,0.0,0.0 
(33, 31, 30), 0.0,0.0,0.0,0.0,0.0,0.0 
(34, 30, 31), 0.0,0.0,0.0,0.0,0.0,0.0 
(34, 31, 30), 0.0,0.0,0.0,0.0,0.0,0.0 
(35, 30, 79), 0.0,-0.0,-79.0,-2197.0,-46.0,2158.0 
(35, 79, 30), 0.0,0.0,79.0,2197.0,46.0,-2158.0 
(36, 30, 79), 0.0,0.0,-79.0,-2197.0,-46.0,2158.0 
(36, 79, 30), 0.0,0.0,79.0,2197.0,46.0,-2158.0 
(37, 32, 33), 0.0,0.0,0.0,-0.0,0.0,-0.0 
(37, 33, 32), 0.0,0.0,0.0,0.0,0.0,0.0 
(38, 32, 33), 0.0,0.0,-0.0,0.0,0.0,0.0 
(38, 33, 32), 0.0,0.0,0.0,-0.0,-0.0,-0.0 
(39, 36, 37), 0.0,0.0,0.0,0.0,2774.0,2681.0 
(39, 37, 36), 0.0,0.0,0.0,0.0,-2774.0,-2681.0 
(40, 36, 55), 0.0,0.0,0.0,0.0,0.0,0.0 
(40, 55, 36), 0.0,0.0,0.0,0.0,0.0,0.0 
(41, 36, 63), 0.0,0.0,0.0,0.0,-1418.0,-1372.0 
(41, 63, 36), 0.0,0.0,0.0,0.0,1418.0,1372.0 
(42, 36, 63), 0.0,0.0,0.0,0.0,-1418.0,-1372.0 
(42, 63, 36), 0.0,0.0,0.0,0.0,1418.0,1372.0 
(43, 38, 45), 0.0,0.0,124.0,186.0,116.0,117.0 
(43, 45, 38), 0.0,0.0,-124.0,-186.0,-116.0,-117.0 
(44, 38, 47), 0.0,0.0,0.0,0.0,0.0,0.0 
(44, 47, 38), 0.0,0.0,0.0,0.0,0.0,0.0 
(45, 38, 58), 0.0,0.0,0.0,0.0,124.0,125.0 
(45, 58, 38), 0.0,0.0,-0.0,-0.0,-124.0,-125.0 
(46, 38, 59), 0.0,0.0,119.0,189.0,134.0,133.0 
(46, 59, 38), 0.0,0.0,-119.0,-189.0,-134.0,-133.0 
(47, 40, 54), 0.0,0.0,0.0,0.0,0.0,-157.0 
(47, 54, 40), 0.0,0.0,0.0,0.0,0.0,157.0 
(48, 40, 57), 0.0,0.0,0.0,0.0,-135.0,22.0 
(48, 57, 40), 0.0,0.0,0.0,0.0,135.0,-22.0 
(49, 41, 49), 0.0,0.0,0.0,0.0,0.0,0.0 
(49, 49, 41), 0.0,0.0,0.0,0.0,0.0,-0.0 
(50, 41, 49), 0.0,0.0,0.0,0.0,0.0,-0.0 
(50, 49, 41), 0.0,0.0,0.0,0.0,0.0,0.0 
(51, 41, 56), 0.0,0.0,0.0,0.0,0.0,0.0 
(51, 56, 41), 0.0,0.0,0.0,0.0,0.0,-0.0 
(52, 41, 57), 0.0,0.0,0.0,0.0,-109.0,-100.0 
(52, 57, 41), 0.0,0.0,0.0,0.0,109.0,100.0 
(53, 43, 159), 0.0,0.0,0.0,0.0,0.0,0.0 
(53, 159, 43), 0.0,0.0,0.0,0.0,0.0,0.0 
(54, 43, 159), 0.0,0.0,0.0,0.0,0.0,0.0 
(54, 159, 43), 0.0,0.0,0.0,0.0,0.0,0.0 
(55, 45, 47), 0.0,0.0,23.0,86.0,16.0,16.0 
(55, 47, 45), 0.0,0.0,-23.0,-86.0,-16.0,-16.0 
(56, 47, 54), 0.0,0.0,0.0,0.0,0.0,0.0 
(56, 54, 47), 0.0,0.0,0.0,0.0,0.0,0.0 
(57, 47, 54), 0.0,0.0,0.0,0.0,0.0,0.0 
(57, 54, 47), 0.0,0.0,-0.0,0.0,0.0,0.0 
(58, 47, 58), 0.0,0.0,0.0,0.0,191.0,191.0 
(58, 58, 47), 0.0,0.0,0.0,0.0,-191.0,-191.0 
(59, 47, 58), 0.0,0.0,0.0,0.0,191.0,191.0 
(59, 58, 47), 0.0,0.0,0.0,0.0,-191.0,-191.0 
(60, 47, 58), 0.0,0.0,0.0,0.0,190.0,190.0 
(60, 58, 47), 0.0,0.0,0.0,0.0,-190.0,-190.0 
(61, 47, 58), 0.0,0.0,0.0,0.0,190.0,190.0 
(61, 58, 47), 0.0,0.0,0.0,0.0,-190.0,-190.0 
(62, 47, 59), 0.0,0.0,-40.0,-39.0,158.0,146.0 
(62, 59, 47), 0.0,0.0,40.0,39.0,-158.0,-146.0 
(63, 47, 59), 0.0,0.0,-40.0,-39.0,158.0,146.0 
(63, 59, 47), 0.0,0.0,40.0,39.0,-158.0,-146.0 
(64, 47, 59), 0.0,0.0,-40.0,-39.0,158.0,146.0 
(64, 59, 47), 0.0,0.0,40.0,39.0,-158.0,-146.0 
(65, 47, 61), 0.0,0.0,0.0,32.0,689.0,684.0 
(65, 61, 47), 0.0,0.0,0.0,-32.0,-689.0,-684.0 
(66, 47, 61), 0.0,0.0,0.0,32.0,689.0,684.0 
(66, 61, 47), 0.0,0.0,0.0,-32.0,-689.0,-684.0 
(67, 48, 63), 0.0,0.0,0.0,0.0,0.0,0.0 
(67, 63, 48), 0.0,0.0,0.0,0.0,0.0,0.0 
(68, 49, 56), 0.0,0.0,0.0,0.0,0.0,0.0 
(68, 56, 49), 0.0,0.0,0.0,0.0,0.0,0.0 
(69, 49, 57), 0.0,0.0,0.0,0.0,0.0,0.0 
(69, 57, 49), 0.0,0.0,0.0,0.0,0.0,0.0 
(70, 51, 62), 0.0,0.0,0.0,0.0,-0.0,0.0 
(70, 62, 51), 0.0,0.0,0.0,0.0,0.0,0.0 
(71, 52, 62), 0.0,0.0,0.0,0.0,-0.0,0.0 
(71, 62, 52), 0.0,0.0,0.0,0.0,0.0,0.0 
(72, 53, 56), 0.0,0.0,0.0,0.0,0.0,-0.0 
(72, 56, 53), 0.0,0.0,0.0,0.0,0.0,0.0 
(73, 53, 56), 0.0,0.0,0.0,0.0,0.0,0.0 
(73, 56, 53), 0.0,0.0,0.0,0.0,0.0,0.0 
(74, 54, 57), 0.0,0.0,0.0,0.0,182.0,99.0 
(74, 57, 54), 0.0,0.0,0.0,-0.0,-182.0,-99.0 
(75, 54, 57), 0.0,0.0,0.0,0.0,182.0,99.0 
(75, 57, 54), 0.0,0.0,0.0,0.0,-182.0,-99.0 
(76, 54, 61), 0.0,0.0,0.0,0.0,-1173.0,-1164.0 
(76, 61, 54), 0.0,0.0,0.0,-0.0,1173.0,1164.0 
(77, 56, 57), 0.0,0.0,0.0,0.0,0.0,0.0 
(77, 57, 56), 0.0,0.0,0.0,0.0,0.0,0.0 
(78, 60, 136), 0.0,0.0,0.0,0.0,0.0,0.0 
(78, 136, 60), 0.0,0.0,0.0,0.0,0.0,0.0 
(79, 60, 149), 0.0,0.0,0.0,0.0,68.0,50.0 
(79, 149, 60), 0.0,0.0,0.0,0.0,-68.0,-50.0 
(80, 60, 149), 0.0,0.0,0.0,0.0,68.0,50.0 
(80, 149, 60), 0.0,0.0,0.0,0.0,-68.0,-50.0 
(81, 63, 138), 0.0,0.0,-0.0,-753.0,-998.0,-481.0 
(81, 138, 63), 0.0,0.0,0.0,753.0,998.0,481.0 
(82, 63, 138), 0.0,0.0,0.0,-753.0,-998.0,-481.0 
(82, 138, 63), 0.0,0.0,0.0,753.0,998.0,481.0 
(83, 63, 141), 0.0,0.0,0.0,1506.0,-840.0,-1780.0 
(83, 141, 63), 0.0,0.0,0.0,-1506.0,840.0,1780.0 
(84, 65, 77), 0.0,0.0,0.0,-177.0,-177.0,-177.0 
(84, 77, 65), 0.0,0.0,-0.0,177.0,177.0,177.0 
