Load Index, Bus Index, Nominal Value,1.0, 2.0, 3.0, 4.0, 5.0, 6.0
1, 1, 1750.0, 0.0,0.0,0.0,0.0,0.0,0.0 
2, 3, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
3, 4, 2350.0, 0.0,0.0,0.0,0.0,0.0,0.0 
4, 5, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
5, 7, 239.0, 0.0,0.0,0.0,0.0,0.0,0.0 
6, 8, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
7, 9, 139.7, 0.0,0.0,0.0,0.0,0.0,0.0 
8, 10, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
9, 11, 90.0, 0.0,0.0,90.0,90.0,90.0,90.0 
10, 12, 100.0, 0.0,-0.0,100.0,100.0,100.0,100.0 
11, 14, 100.0, 0.0,0.0,0.0,0.0,100.0,100.0 
12, 15, 793.4, 0.0,0.0,0.0,0.0,0.0,793.0 
13, 16, 840.0, 0.0,0.0,0.0,0.0,0.0,0.0 
14, 17, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
15, 18, 617.0, 0.0,0.0,0.0,0.0,617.0,617.0 
16, 29, 100.0, 0.0,0.0,0.0,0.0,100.0,100.0 
17, 30, 4400.0, 0.0,0.0,0.0,4394.0,4400.0,4400.0 
18, 33, 3600.0, 0.0,0.0,2791.0,3600.0,3600.0,3600.0 
19, 34, 100.0, 0.0,0.0,-0.0,100.0,100.0,100.0 
20, 35, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
21, 36, 62.0, 0.0,0.0,0.0,0.0,62.0,62.0 
22, 39, 100.0, 0.0,0.0,100.0,100.0,100.0,100.0 
23, 40, 135.0, 0.0,0.0,0.0,0.0,135.0,135.0 
24, 42, 100.0, 0.0,0.0,0.0,0.0,100.0,100.0 
25, 43, 2053.0, 0.0,0.0,0.0,0.0,0.0,0.0 
26, 44, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
27, 45, 100.8, 0.0,0.0,101.0,101.0,101.0,101.0 
28, 46, 100.0, 0.0,0.0,19.0,19.0,100.0,100.0 
29, 47, 121.0, 0.0,0.0,121.0,121.0,121.0,121.0 
30, 49, 320.0, 0.0,0.0,0.0,0.0,0.0,0.0 
31, 50, 237.2, 0.0,0.0,0.0,0.0,0.0,0.0 
32, 53, 138.0, 0.0,0.0,0.0,0.0,0.0,0.0 
33, 54, 807.8, 0.0,0.0,0.0,0.0,808.0,808.0 
34, 56, 117.0, 0.0,0.0,0.0,0.0,0.0,0.0 
35, 57, 121.0, 0.0,0.0,0.0,0.0,121.0,121.0 
36, 58, 887.7, 0.0,0.0,0.0,0.0,888.0,888.0 
37, 59, 71.0, 0.0,0.0,0.0,71.0,71.0,71.0 
38, 60, 401.0, 0.0,0.0,0.0,0.0,401.0,401.0 
39, 61, 205.20000000000002, 0.0,0.0,0.0,64.0,205.0,205.0 
40, 62, 129.0, 0.0,0.0,0.0,0.0,0.0,0.0 
41, 64, 100.0, 0.0,0.0,0.0,100.0,100.0,100.0 
42, 65, 1700.0, 0.0,0.0,0.0,1245.0,1317.0,1700.0 
43, 66, 160.0, 0.0,0.0,0.0,0.0,160.0,160.0 
44, 67, 67.5, 0.0,0.0,0.0,68.0,68.0,67.0 
45, 68, 44.2, 0.0,0.0,44.0,44.0,44.0,44.0 
46, 69, 100.0, 0.0,0.0,100.0,100.0,100.0,100.0 
47, 70, 3137.0, 0.0,0.0,0.0,0.0,3137.0,3137.0 
48, 72, 50.0, 0.0,0.0,0.0,0.0,0.0,0.0 
49, 74, 2584.0, 0.0,0.0,0.0,0.0,0.0,0.0 
50, 75, 3200.0, 0.0,0.0,3200.0,3200.0,3200.0,3200.0 
51, 76, 100.0, 0.0,0.0,0.0,100.0,100.0,100.0 
52, 77, 3500.0, 0.0,0.0,3500.0,3500.0,3500.0,3500.0 
53, 78, 100.0, 0.0,-0.0,100.0,100.0,100.0,100.0 
54, 79, 5000.0, 0.0,0.0,3269.0,5000.0,5000.0,5000.0 
55, 81, 66.6, 0.0,0.0,0.0,67.0,67.0,67.0 
56, 82, 50.0, 0.0,0.0,0.0,0.0,0.0,0.0 
57, 84, 610.0, 0.0,0.0,0.0,0.0,0.0,0.0 
58, 99, 43.3, 0.0,0.0,0.0,0.0,0.0,0.0 
59, 100, 210.4, 0.0,0.0,0.0,0.0,0.0,0.0 
60, 101, 50.0, 0.0,0.0,0.0,0.0,0.0,0.0 
61, 102, 100.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
62, 103, 305.0, 0.0,0.0,0.0,0.0,0.0,0.0 
63, 104, 27.500000000000004, 0.0,0.0,0.0,0.0,0.0,0.0 
64, 105, 8.01, 0.0,0.0,0.0,0.0,0.0,0.0 
65, 106, 265.0, 0.0,0.0,0.0,0.0,0.0,0.0 
66, 107, 55.60000000000001, 0.0,0.0,0.0,0.0,0.0,0.0 
67, 108, 777.6, 0.0,0.0,0.0,0.0,0.0,0.0 
68, 109, 40.0, 0.0,0.0,0.0,0.0,0.0,0.0 
69, 110, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
70, 111, 100.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
71, 112, 148.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
72, 114, 100.70000000000002, 0.0,0.0,0.0,0.0,0.0,0.0 
73, 115, 100.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
74, 116, 884.0, 0.0,0.0,0.0,0.0,0.0,0.0 
75, 117, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
76, 118, 3161.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
77, 135, 856.0, 0.0,0.0,0.0,0.0,0.0,0.0 
78, 136, 175.0, 0.0,0.0,0.0,0.0,0.0,146.0 
79, 137, 100.0, 0.0,0.0,100.0,100.0,100.0,100.0 
80, 138, 902.3, 0.0,0.0,902.0,902.0,902.0,902.0 
81, 139, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
82, 140, 2000.0, 0.0,0.0,0.0,0.0,0.0,0.0 
83, 141, 204.2, 0.0,0.0,204.0,204.0,204.0,204.0 
84, 142, 377.4, 0.0,0.0,0.0,0.0,0.0,0.0 
85, 143, 100.0, 0.0,0.0,100.0,100.0,100.0,100.0 
86, 144, 2000.0, 0.0,0.0,0.0,1735.0,2000.0,2000.0 
87, 147, 100.0, 0.0,0.0,100.0,100.0,100.0,100.0 
88, 148, 100.0, 0.0,0.0,0.0,0.0,100.0,100.0 
89, 149, 2118.0, 0.0,0.0,0.0,0.0,0.0,0.0 
90, 150, 1230.0, 0.0,0.0,0.0,1230.0,1230.0,1230.0 
91, 151, 405.99999999999994, 0.0,0.0,0.0,0.0,0.0,0.0 
92, 153, 1066.0, 0.0,0.0,0.0,0.0,0.0,0.0 
93, 154, 457.7, 0.0,0.0,0.0,0.0,0.0,0.0 
94, 155, 33.9, 0.0,0.0,0.0,0.0,0.0,0.0 
95, 156, 148.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
96, 157, 116.10000000000001, 0.0,0.0,0.0,0.0,0.0,0.0 
97, 158, 100.0, 0.0,0.0,0.0,0.0,0.0,0.0 
98, 159, 62.0, 0.0,0.0,0.0,0.0,0.0,0.0 
99, 160, 254.99999999999997, 0.0,0.0,0.0,0.0,0.0,0.0 
100, 161, 100.0, 0.0,0.0,0.0,0.0,0.0,-0.0 
101, 163, 31.6, 0.0,0.0,0.0,0.0,0.0,0.0 
102, 164, 141.2, 0.0,0.0,0.0,0.0,0.0,0.0 
103, 165, 379.0, 0.0,0.0,0.0,0.0,0.0,0.0 
104, 166, 185.0, 0.0,0.0,0.0,0.0,0.0,0.0 
