Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0
18, 78, 0.0,-616.0,-1437.0,-1381.0 
30, 180, 0.0,0.0,0.0,0.0 
2, 5, 0.0,0.0,0.0,0.0 
16, 69, 0.0,0.0,-582.0,-213.0 
21, 115, 0.0,0.0,0.0,0.0 
7, 17, 0.0,0.0,0.0,0.0 
9, 34, 0.0,0.0,533.0,578.0 
10, 35, 0.0,0.0,0.0,0.0 
29, 161, 0.0,0.0,0.0,0.0 
17, 76, -1482.0,-1850.0,1442.0,522.0 
8, 29, 0.0,0.0,0.0,0.0 
22, 117, 0.0,0.0,0.0,0.0 
4, 10, 0.0,0.0,0.0,0.0 
3, 8, 0.0,0.0,0.0,0.0 
28, 158, 0.0,0.0,0.0,0.0 
20, 111, 0.0,0.0,0.0,0.0 
13, 44, 0.0,0.0,0.0,0.0 
31, 181, 0.0,0.0,-0.0,0.0 
15, 64, 0.0,0.0,0.0,0.0 
1, 3, 0.0,0.0,0.0,0.0 
