DataFrame Index,BusName,Latitude,Longitude,BusNumber,Location,Interconnection,EquipmentType,Generator,Type
0, CORONADO 500 ,34.56004,-109.277313,1,"CORONADO 500, AZ",WI,PMU,0,
1, CHOLLA   345 ,34.938385,-110.303798,2,"CHOLLA   345, AZ",WI,PMU,0,
2, CORONADO20.0 ,34.66004,-109.777313,3,"CORONADO20.0, AZ",WI,PMU,1,
3, CRAIG    345 ,40.5152473,-107.546455,4,"CRAIG    345, CO",WI,PMU,0,
4, CRAIG   22.0 ,40.4142473,-107.546455,5,"CRAIG   22.0, CO",WI,PMU,1,
5, FOURCORN 500 ,36.587401,-108.385669,6,"FOURCORN 500, NM",WI,PMU,0,
6, FOURCORN 345 ,36.787401,-108.584569,7,"FOURCORN 345, NM",WI,PMU,0,
7, FCNGN4CC22.0 ,36.687401,-108.486669,8,"FCNGN4CC22.0, NM",WI,PMU,1,
8, FOURCORN 230 ,36.786401,-108.385669,9,"FOURCORN 230, NM",WI,PMU,0,
9, HAYDEN  20.0 ,40.487041,-107.185575,10,"HAYDEN  20.0, CO",WI,PMU,1,
10, NAVAJO   500 ,36.903901,-111.390408,11,"NAVAJO   500, AZ",WI,PMU,0,
11, NAVAJO 226.0 ,36.802901,-111.390408,12,"NAVAJO 226.0, AZ",WI,PMU,1,
12, MOENKOPI 500 ,35.832561,-111.448566,13,"MOENKOPI 500, AZ",WI,PMU,0,
13, PALOVRD224.0 ,33.386047,-112.860397,14,"PALOVRD224.0, CA",WI,PMU,1,
14, PALOVRDE 500 ,33.385047,-112.859397,15,"PALOVRDE 500, CA",WI,PMU,0,
15, SAN JUAN 345 ,36.805571,-108.443555,16,"SAN JUAN 345, UT",WI,PMU,0,
16, SJUAN G422.0 ,36.804154,-108.541191,17,"SJUAN G422.0, UT",WI,PMU,1,
17, WESTWING 500 ,33.706718,-112.322033,18,"WESTWING 500, AZ",WI,PMU,0,
18, NAVAJO1  500 ,36.953549,-111.440816,19,"NAVAJO1  500, AZ",WI,PMU,0,
19, NAVAJO2  500 ,36.853539,-111.340816,20,"NAVAJO2  500, AZ",WI,PMU,0,
20, NAVAJO3  500 ,36.953559,-111.340816,21,"NAVAJO3  500, AZ",WI,PMU,0,
21, NAVAJO4  500 ,36.853549,-111.440806,22,"NAVAJO4  500, AZ",WI,PMU,0,
22, MOENKOP1 500 ,35.933561,-111.548566,23,"MOENKOP1 500, AZ",WI,PMU,0,
23, MOENKOP2 500 ,35.731561,-111.348566,24,"MOENKOP2 500, AZ",WI,PMU,0,
24, MOENKOP3 500 ,35.932561,-111.349566,25,"MOENKOP3 500, AZ",WI,PMU,0,
25, MOENKOP4 500 ,35.732561,-111.547566,26,"MOENKOP4 500, AZ",WI,PMU,0,
26, FOURCOR1 500 ,36.585401,-108.585669,27,"FOURCOR1 500, NM",WI,PMU,0,
27, FOURCOR2 500 ,36.787401,-108.383669,28,"FOURCOR2 500, NM",WI,PMU,0,
28, CANAD G120.0 ,49.769314,-122.150895,29,"CANAD G120.0, BC",WI,PMU,1,
29, CANADA   500 ,50.969314,-122.150895,30,"CANADA   500, BC",WI,PMU,0,
30, CANALB   500 ,51.979314,-122.150895,31,"CANALB   500, BC",WI,PMU,0,
31, CA230TO  230 ,52.481674,-121.61684,32,"CA230TO  230, BC",WI,PMU,0,
32, CA230    230 ,54.973192,-121.924221,33,"CA230    230, BC",WI,PMU,0,
33, CMAIN GM20.0 ,56.276212,-122.2137,34,"CMAIN GM20.0, BC",WI,PMU,1,Hydro
34, BRIDGER2  22 ,41.734596,-108.790427,35,"BRIDGER2  22, MT",WI,PMU,1,
35, ADELANTO 500 ,34.551015,-117.438105,36,"ADELANTO 500, CA",WI,PMU,0,
36, ADELAN,34.652015,-117.538105,37,"ADELAN-1 500, CA",WI,PMU,0,
37, CASTAIC  230 ,34.537507,-118.607375,38,"CASTAIC  230, CA",WI,PMU,0,
38, CASTAI4G18.0 ,34.587507,-118.658375,39,"CASTAI4G18.0, CA",WI,PMU,1,Hydro
39, GLENDAL  230 ,34.157904,-118.280282,40,"GLENDAL  230, CA",WI,PMU,0,
40, HAYNES   230 ,33.714453,-118.146319,41,"HAYNES   230, CA",WI,PMU,0,
41, HAYNES3G18.0 ,33.762453,-118.096319,42,"HAYNES3G18.0, CA",WI,PMU,1,
42, INTERMT  345 ,39.54816,-112.52797,43,"INTERMT  345, UT",WI,PMU,0,
43, INTERM1G26.0 ,39.49616,-112.57797,44,"INTERM1G26.0, UT",WI,PMU,1,
44, OLIVE    230 ,34.313143,-118.490631,45,"OLIVE    230, CA",WI,PMU,0,
45, OWENS G 11.5 ,34.545782,-118.589938,46,"OWENS G 11.5, CA",WI,PMU,1,
46, RINALDI  230 ,34.380686,-118.478496,47,"RINALDI  230, CA",WI,PMU,0,
47, RINALDI  500 ,34.281686,-118.478496,48,"RINALDI  500, CA",WI,PMU,0,
48, RIVER    230 ,34.037762,-118.229917,49,"RIVER    230, CA",WI,PMU,0,
49, STA B    138 ,34.11865,-118.095428,50,"STA B    138, CA",WI,PMU,0,
50, STA B1   287 ,34.15865,-118.095428,51,"STA B1   287, CA",WI,PMU,0,
51, STA B2   287 ,33.91865,-118.095428,52,"STA B2   287, CA",WI,PMU,0,
52, STA BLD  230 ,33.81865,-118.095428,53,"STA BLD  230, CA",WI,PMU,0,
