gen_key,gen_bus,cranking_power_MW,cranking_time_min,ramping_rate_MW_min,bs_unit,name,Latitude,Longitude,Rating(MW)
1,3,21,30,12.18,0,4 - CORONADO20.0 ,34.66004,-109.777313,1462
2,5,20,30,12.4,0,6 - CRAIG ξ 22.0 ,40.4142473,-107.546455,1488
3,8,37,30,20.48,0,9 - FCNGN4CC22.0 ,36.687401,-108.486669,2458
4,10,45,30,25,0,11 - HAYDEN ξ20.0 ,40.487041,-107.185575,3000
5,12,0,30,29.5,1,13 - NAVAJO 226.0 ,36.802901,-111.390408,3540
6,14,46,30,25.97,0,15 - PALOVRD224.0 ,33.386047,-112.860397,3117
7,17,31,30,17.12,0,18 - SJUAN G422.0 ,36.804154,-108.541191,2054
8,29,158,30,88.15,0,30 - CANAD G120.0 ,49.769314,-122.150895,10578
9,34,0,30,55.82,1,35 - CMAIN GM20.0 ,56.276212,-122.2137,6698
10,35,33,10,18.05,0,36 - BRIDGER2 ξ22 ,41.734596,-108.790427,2166
11,39,0,30,12.5,1,40 - CASTAI4G18.0 ,34.587507,-118.658375,1500
12,42,9,30,4.5,0,43 - HAYNES3G18.0 ,33.762453,-118.096319,540
13,44,30,30,16.52,0,45 - INTERM1G26.0 ,39.49616,-112.57797,1982
14,46,3,30,0.94,0,47 - OWENS G 11.5 ,34.545782,-118.589938,113
15,64,72,30,40.25,0,65 - MONTA G120.0 ,46.064672,-106.60906,4830
16,69,42,30,23.52,0,70 - DALLES2113.8 ,44.89,-123.29,2822
17,76,0,30,87.68,1,77 - JOHN DAY13.8 ,45.713936,-120.693974,10522
18,78,0,30,120.58,1,79 - NORTH G320.0 ,47.954899,-120.997945,14469
19,102,25,30,14.04,0,103 - DIABLO1 25.0 ,35.2152,-120.900567,1685
20,111,30,30,16.67,0,112 - ROUND MT20.0 ,40.707689,-121.935718,2000
21,115,12,30,7.46,0,116 - TEVATR ξ20.0 ,37.954721,-121.18379,895
22,117,118,30,65.94,0,118 - TEVATR2 20.0 ,38.906721,-121.27379,7913
23,137,31,30,17.53,0,138 - ELDORADO20.0 ,34.20835,-118.184318,2104
24,139,163,30,90.59166667,0,140 - LITEHIPE20.0 ,33.880491,-118.175177,10871
25,143,45,30,25,0,144 - MIRALOMA20.0 ,34.007821,-117.5645,3000
26,147,0,30,28.275,1,148 - MOHAV1CC22.0 ,35.148654,-114.595307,3393
27,148,37,30,20.83333333,0,149 - PARDEE ξ20.0 ,34.439084,-118.582763,2500
28,158,33,30,18.575,0,159 - EMERY ξ 20.0 ,39.177375,-111.079737,2229
29,161,12,30,6.933333333,0,162 - NAUGHT ξ20.0 ,41.7055,-110.555,832
30,180,30,30,16.67,0,181 - ADDBUS1  20.0,46.41144,-112.88531,2000
31,181,30,30,16.67,0,182 - ADDBUS2  20.0,39.056721,-121.23979,2000
