,from_bus,Latitude_from_bus,Longitude_from_bus,to_bus,Latitude_to_bus,Longitude_to_bus,circuit
0,2,34.938385,-110.303798,7,36.787401,-108.58456899999999,'1 '
1,2,34.938385,-110.303798,7,36.787401,-108.58456899999999,'2 '
2,4,40.5152473,-107.54645500000001,16,36.805571,-108.443555,'1 '
3,4,40.5152473,-107.54645500000001,16,36.805571,-108.443555,'2 '
4,4,40.5152473,-107.54645500000001,159,39.809556,-111.90869099999999,'1 '
5,6,36.587401,-108.385669,27,36.585401,-108.585669,'1 '
6,6,36.587401,-108.385669,27,36.585401,-108.585669,'2 '
7,7,36.787401,-108.58456899999999,16,36.805571,-108.443555,'1 '
8,7,36.787401,-108.58456899999999,16,36.805571,-108.443555,'2 '
9,7,36.787401,-108.58456899999999,162,37.870746999999994,-109.314458,'1 '
10,11,36.903901,-111.39040800000001,19,36.953549,-111.440816,'1 '
11,11,36.903901,-111.39040800000001,21,36.953559000000006,-111.34081599999999,'1 '
12,11,36.903901,-111.39040800000001,138,34.101834999999994,-118.18431799999999,'1 '
13,13,35.832561,-111.44856599999999,20,36.853539000000005,-111.34081599999999,'1 '
14,13,35.832561,-111.44856599999999,23,35.933561,-111.548566,'1 '
15,13,35.832561,-111.44856599999999,25,35.932561,-111.349566,'1 '
16,13,35.832561,-111.44856599999999,28,36.787401,-108.383669,'1 '
17,13,35.832561,-111.44856599999999,28,36.787401,-108.383669,'2 '
18,15,33.385047,-112.859397,18,33.706718,-112.322033,'1 '
19,15,33.385047,-112.859397,18,33.706718,-112.322033,'2 '
20,15,33.385047,-112.859397,135,33.937267999999996,-116.57798500000001,'1 '
21,15,33.385047,-112.859397,135,33.937267999999996,-116.57798500000001,'2 '
22,18,33.706718,-112.322033,22,36.853549,-111.44080600000001,'1 '
23,18,33.706718,-112.322033,24,35.731561,-111.34856599999999,'1 '
24,19,36.953549,-111.440816,20,36.853539000000005,-111.34081599999999,'1 '
25,21,36.953559000000006,-111.34081599999999,22,36.853549,-111.44080600000001,'1 '
26,23,35.933561,-111.548566,24,35.731561,-111.34856599999999,'1 '
27,25,35.932561,-111.349566,26,35.732561,-111.54756599999999,'1 '
28,26,35.732561,-111.54756599999999,138,34.101834999999994,-118.18431799999999,'1 '
29,27,36.585401,-108.585669,28,36.787401,-108.383669,'1 '
30,27,36.585401,-108.585669,28,36.787401,-108.383669,'2 '
31,30,50.969314000000004,-122.15089499999999,31,51.979314,-122.15089499999999,'1 '
32,30,50.969314000000004,-122.15089499999999,31,51.979314,-122.15089499999999,'2 '
33,30,50.969314000000004,-122.15089499999999,31,51.979314,-122.15089499999999,'3 '
34,30,50.969314000000004,-122.15089499999999,79,47.624154,-122.21949199999999,'1 '
35,30,50.969314000000004,-122.15089499999999,79,47.624154,-122.21949199999999,'2 '
36,32,52.481674,-121.61684,33,54.973192000000004,-121.924221,'1 '
37,32,52.481674,-121.61684,33,54.973192000000004,-121.924221,'2 '
38,36,34.551015,-117.43810500000001,37,34.652015000000006,-117.538105,'1 '
39,36,34.551015,-117.43810500000001,55,34.01865,-118.295428,'1 '
40,36,34.551015,-117.43810500000001,63,34.565258,-117.36842800000001,'1 '
41,36,34.551015,-117.43810500000001,63,34.565258,-117.36842800000001,'2 '
42,38,34.537507,-118.607375,45,34.313143,-118.49063100000001,'1 '
43,38,34.537507,-118.607375,47,34.380686,-118.47849599999999,'1 '
44,38,34.537507,-118.607375,58,34.01865,-117.995428,'1 '
45,38,34.537507,-118.607375,59,34.312456,-118.48121699999999,'1 '
46,40,34.157903999999995,-118.280282,54,34.01865,-118.195428,'1 '
47,40,34.157903999999995,-118.280282,57,34.01865,-117.89542800000001,'1 '
48,41,33.714453000000006,-118.14631899999999,49,34.037762,-118.22991699999999,'1 '
49,41,33.714453000000006,-118.14631899999999,49,34.037762,-118.22991699999999,'2 '
50,41,33.714453000000006,-118.14631899999999,56,34.01865,-117.995428,'1 '
51,41,33.714453000000006,-118.14631899999999,57,34.01865,-117.89542800000001,'1 '
52,43,39.548159999999996,-112.52797,159,39.809556,-111.90869099999999,'1 '
53,43,39.548159999999996,-112.52797,159,39.809556,-111.90869099999999,'2 '
54,45,34.313143,-118.49063100000001,47,34.380686,-118.47849599999999,'1 '
55,47,34.380686,-118.47849599999999,54,34.01865,-118.195428,'1 '
56,47,34.380686,-118.47849599999999,54,34.01865,-118.195428,'2 '
57,47,34.380686,-118.47849599999999,58,34.01865,-117.995428,'1 '
58,47,34.380686,-118.47849599999999,58,34.01865,-117.995428,'2 '
59,47,34.380686,-118.47849599999999,58,34.01865,-117.995428,'3 '
60,47,34.380686,-118.47849599999999,58,34.01865,-117.995428,'4 '
61,47,34.380686,-118.47849599999999,59,34.312456,-118.48121699999999,'1 '
62,47,34.380686,-118.47849599999999,59,34.312456,-118.48121699999999,'2 '
63,47,34.380686,-118.47849599999999,59,34.312456,-118.48121699999999,'3 '
64,47,34.380686,-118.47849599999999,61,34.2436,-118.391667,'1 '
65,47,34.380686,-118.47849599999999,61,34.2436,-118.391667,'2 '
66,48,34.281686,-118.47849599999999,63,34.565258,-117.36842800000001,'1 '
67,49,34.037762,-118.22991699999999,56,34.01865,-117.995428,'1 '
68,49,34.037762,-118.22991699999999,57,34.01865,-117.89542800000001,'1 '
69,51,34.15865,-118.095428,62,34.566258000000005,-117.316428,'1 '
