Gen Index, Gen Bus, Upper Bound,1.0, 2.0, 3.0, 4.0, 5.0, 6.0
1, 3, 1388.9, 0.0,0.0,0.0,0.0,0.0,0.0 
2, 5, 1413.6, 0.0,0.0,0.0,0.0,0.0,0.0 
3, 8, 2335.1, 0.0,0.0,0.0,0.0,0.0,0.0 
4, 10, 2850.0, 0.0,0.0,0.0,0.0,0.0,0.0 
5, 12, 3363.0000000000005, 0.0,0.0,1223.0,2698.0,3073.0,1911.0 
6, 14, 2961.15, 0.0,0.0,0.0,0.0,-46.0,0.0 
7, 17, 1951.2999999999997, 0.0,0.0,0.0,0.0,0.0,0.0 
8, 29, 10049.1, 0.0,0.0,-158.0,0.0,4408.0,8815.0 
9, 34, 6363.138, 0.0,0.0,2791.0,3700.0,3700.0,3700.0 
10, 35, 2057.7, 0.0,0.0,0.0,0.0,0.0,0.0 
11, 39, 475.0, 0.0,0.0,343.0,475.0,475.0,475.0 
12, 42, 513.0, 0.0,0.0,0.0,0.0,-9.0,0.0 
13, 44, 1882.9, 0.0,0.0,0.0,0.0,0.0,0.0 
14, 46, 107.35, 0.0,0.0,-3.0,0.0,47.0,94.0 
15, 64, 4588.5, 0.0,0.0,0.0,-72.0,0.0,384.0 
16, 69, 2680.9, 0.0,0.0,-42.0,0.0,1176.0,2352.0 
17, 76, 9995.9, 0.0,0.0,4384.0,5931.0,2063.0,0.0 
18, 78, 13745.551, 0.0,0.0,6029.0,12058.0,13746.0,10224.0 
19, 102, 1600.75, 0.0,0.0,0.0,0.0,0.0,0.0 
20, 111, 1900.0, 0.0,0.0,0.0,0.0,0.0,0.0 
21, 115, 850.25, 0.0,0.0,0.0,-0.0,0.0,0.0 
22, 117, 7517.35, 0.0,0.0,0.0,0.0,0.0,0.0 
23, 137, 1998.8, 0.0,0.0,-31.0,0.0,876.0,1753.0 
24, 139, 10327.45, 0.0,0.0,0.0,0.0,0.0,-163.0 
25, 143, 2850.0, 0.0,0.0,-45.0,0.0,1250.0,2500.0 
26, 147, 3223.9200000000005, 0.0,0.0,449.0,1863.0,3224.0,3224.0 
27, 148, 2375.0, 0.0,0.0,0.0,0.0,-37.0,0.0 
28, 158, 2117.55, 0.0,0.0,0.0,0.0,0.0,0.0 
29, 161, 790.4, 0.0,0.0,0.0,0.0,0.0,0.0 
30, 180, 1900.0, 0.0,0.0,0.0,0.0,0.0,0.0 
31, 181, 1900.0, 0.0,0.0,-0.0,0.0,0.0,0.0 
