Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0, 5.0
18, 78, 1.0,1.0,1.0,1.0,1.0 
1, 3, 1.0,1.0,1.0,1.0,1.0 
2, 5, 1.0,1.0,1.0,1.0,1.0 
16, 69, 1.0,1.0,1.0,1.0,1.0 
11, 39, 1.0,1.0,1.0,1.0,1.0 
21, 115, 1.0,1.0,1.0,1.0,1.0 
7, 17, 1.0,1.0,1.0,1.0,1.0 
26, 147, 1.0,1.0,1.0,1.0,1.0 
25, 143, 1.0,1.0,1.0,1.0,1.0 
10, 35, 1.0,1.0,1.0,1.0,1.0 
9, 34, 1.0,1.0,1.0,1.0,1.0 
29, 161, 1.0,1.0,1.0,1.0,1.0 
19, 102, 1.0,1.0,1.0,1.0,1.0 
17, 76, 1.0,1.0,1.0,1.0,1.0 
8, 29, 1.0,1.0,1.0,1.0,1.0 
22, 117, 1.0,1.0,1.0,1.0,1.0 
6, 14, 1.0,1.0,1.0,1.0,1.0 
24, 139, 1.0,1.0,1.0,1.0,1.0 
4, 10, 1.0,1.0,1.0,1.0,1.0 
3, 8, 1.0,1.0,1.0,1.0,1.0 
28, 158, 1.0,1.0,1.0,1.0,1.0 
5, 12, 1.0,1.0,1.0,1.0,1.0 
20, 111, 1.0,1.0,1.0,1.0,1.0 
23, 137, 1.0,1.0,1.0,1.0,1.0 
13, 44, 1.0,1.0,1.0,1.0,1.0 
31, 181, -0.0,-0.0,-0.0,0.0,0.0 
14, 46, 1.0,1.0,1.0,1.0,1.0 
27, 148, 1.0,1.0,1.0,1.0,1.0 
15, 64, 0.0,1.0,1.0,1.0,1.0 
12, 42, 1.0,1.0,1.0,1.0,1.0 
30, 180, 0.0,0.0,0.0,0.0,0.0 
