Branch Index, From Bus , To Bus,1.0, 2.0
68, 49, 56,1.0,1.0 
210, 141, 144,1.0,1.0 
306, 148, 149,1.0,1.0 
275, 52, 50,1.0,1.0 
11, 11, 19,1.0,1.0 
39, 36, 37,1.0,1.0 
46, 38, 59,1.0,1.0 
158, 103, 106,1.0,1.0 
215, 141, 152,1.0,1.0 
160, 103, 134,1.0,1.0 
25, 19, 20,1.0,1.0 
55, 45, 47,1.0,1.0 
42, 36, 63,1.0,1.0 
29, 26, 138,1.0,1.0 
58, 47, 58,1.0,1.0 
66, 47, 61,1.0,1.0 
249, 173, 174,1.0,1.0 
155, 101, 103,1.0,1.0 
59, 47, 58,1.0,1.0 
207, 138, 146,1.0,1.0 
209, 140, 142,1.0,1.0 
74, 54, 57,1.0,1.0 
57, 47, 54,1.0,1.0 
20, 15, 18,1.0,1.0 
78, 60, 136,1.0,1.0 
14, 13, 20,1.0,1.0 
205, 136, 149,1.0,1.0 
70, 51, 62,1.0,1.0 
52, 41, 57,1.0,1.0 
212, 141, 146,1.0,1.0 
308, 152, 153,1.0,1.0 
69, 49, 57,1.0,1.0 
219, 144, 150,1.0,1.0 
223, 152, 174,1.0,1.0 
269, 38, 39,1.0,1.0 
26, 21, 22,1.0,1.0 
278, 55, 54,1.0,1.0 
166, 107, 134,1.0,1.0 
279, 55, 54,1.0,1.0 
83, 63, 141,1.0,1.0 
65, 47, 61,1.0,1.0 
64, 47, 59,1.0,1.0 
49, 41, 49,1.0,1.0 
250, 175, 176,1.0,1.0 
44, 38, 47,1.0,1.0 
220, 149, 153,1.0,1.0 
292, 101, 102,1.0,1.0 
45, 38, 58,1.0,1.0 
168, 107, 175,1.0,1.0 
13, 11, 138,1.0,1.0 
309, 152, 153,1.0,1.0 
270, 41, 42,1.0,1.0 
67, 48, 63,1.0,1.0 
216, 142, 145,1.0,1.0 
206, 138, 141,1.0,1.0 
47, 40, 54,1.0,1.0 
50, 41, 49,1.0,1.0 
77, 56, 57,1.0,1.0 
80, 60, 149,1.0,1.0 
40, 36, 55,1.0,1.0 
211, 141, 144,1.0,1.0 
214, 141, 152,1.0,1.0 
307, 152, 153,1.0,1.0 
303, 143, 144,1.0,1.0 
82, 63, 138,1.0,1.0 
43, 38, 45,1.0,1.0 
203, 135, 151,1.0,1.0 
75, 54, 57,1.0,1.0 
60, 47, 58,1.0,1.0 
157, 101, 107,1.0,1.0 
273, 48, 47,1.0,1.0 
221, 149, 153,1.0,1.0 
61, 47, 58,1.0,1.0 
217, 142, 153,1.0,1.0 
79, 60, 149,1.0,1.0 
272, 47, 46,1.0,1.0 
302, 139, 140,1.0,1.0 
71, 52, 62,1.0,1.0 
48, 40, 57,1.0,1.0 
225, 152, 178,1.0,1.0 
293, 108, 107,1.0,1.0 
224, 152, 176,1.0,1.0 
76, 54, 61,1.0,1.0 
12, 11, 21,1.0,1.0 
213, 141, 150,1.0,1.0 
167, 107, 173,1.0,1.0 
81, 63, 138,1.0,1.0 
204, 136, 142,1.0,1.0 
304, 144, 145,1.0,1.0 
62, 47, 59,1.0,1.0 
169, 107, 177,1.0,1.0 
16, 13, 25,1.0,1.0 
21, 15, 135,1.0,1.0 
208, 140, 142,1.0,1.0 
294, 108, 107,1.0,1.0 
268, 37, 47,1.0,1.0 
19, 15, 18,1.0,1.0 
281, 63, 62,1.0,1.0 
51, 41, 56,1.0,1.0 
280, 59, 60,1.0,1.0 
274, 51, 50,1.0,1.0 
24, 18, 24,1.0,1.0 
73, 53, 56,1.0,1.0 
22, 15, 135,1.0,1.0 
262, 15, 14,1.0,1.0 
222, 150, 151,1.0,1.0 
156, 101, 107,1.0,1.0 
277, 53, 50,1.0,1.0 
261, 11, 12,1.0,1.0 
251, 177, 178,1.0,1.0 
28, 25, 26,1.0,1.0 
72, 53, 56,1.0,1.0 
23, 18, 22,1.0,1.0 
63, 47, 59,1.0,1.0 
163, 106, 107,1.0,1.0 
305, 146, 147,1.0,1.0 
27, 23, 24,1.0,1.0 
218, 144, 150,1.0,1.0 
276, 53, 50,1.0,1.0 
164, 106, 109,1.0,1.0 
56, 47, 54,1.0,1.0 
41, 36, 63,1.0,1.0 
15, 13, 23,1.0,1.0 
301, 137, 138,1.0,1.0 
