Load Index, Bus Index, 1.0, 2.0
2, 3, 0.0,0.0 
46, 69, 0.0,0.0 
25, 43, 0.0,0.0 
55, 81, 0.0,0.0 
42, 65, 0.0,0.0 
58, 99, 0.0,0.0 
59, 100, 0.0,0.0 
8, 10, 0.0,0.0 
74, 116, 0.0,0.0 
95, 156, 0.0,0.0 
57, 84, 0.0,0.0 
20, 35, 0.0,0.0 
14, 17, 0.0,0.0 
70, 111, 0.0,0.0 
52, 77, 0.0,0.0 
18, 33, 0.0,0.0 
69, 110, 0.0,0.0 
96, 157, 0.0,0.0 
26, 44, 0.0,0.0 
17, 30, 0.0,0.0 
64, 105, 0.0,0.0 
49, 74, 0.0,0.0 
44, 67, 0.0,0.0 
4, 5, 0.0,0.0 
45, 68, 0.0,0.0 
13, 16, 0.0,0.0 
99, 160, 0.0,0.0 
93, 154, 0.0,0.0 
94, 155, 0.0,0.0 
1, 1, 0.0,0.0 
54, 79, 0.0,0.0 
47, 70, 0.0,0.0 
50, 75, 0.0,0.0 
101, 163, 0.0,0.0 
43, 66, 0.0,0.0 
7, 9, 0.0,0.0 
75, 117, 0.0,0.0 
104, 166, 0.0,0.0 
103, 165, 0.0,0.0 
3, 4, 0.0,0.0 
71, 112, 0.0,0.0 
48, 72, 0.0,0.0 
76, 118, 0.0,0.0 
100, 161, 0.0,0.0 
98, 159, 0.0,0.0 
16, 29, 0.0,0.0 
102, 164, 0.0,0.0 
19, 34, 0.0,0.0 
51, 76, 0.0,0.0 
6, 8, 0.0,0.0 
73, 115, 0.0,0.0 
53, 78, 0.0,0.0 
72, 114, 0.0,0.0 
5, 7, 0.0,0.0 
63, 104, 0.0,0.0 
56, 82, 0.0,0.0 
97, 158, 0.0,0.0 
41, 64, 0.0,0.0 
