Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0, 5.0, 6.0
18, 78, 0.0,0.0,6029.0,12058.0,12211.0,13746.0 
30, 180, 0.0,0.0,0.0,0.0,0.0,0.0 
2, 5, 0.0,0.0,-20.0,0.0,620.0,1240.0 
16, 69, 0.0,0.0,0.0,0.0,-42.0,0.0 
21, 115, 0.0,0.0,0.0,0.0,-12.0,0.0 
7, 17, 0.0,0.0,-31.0,0.0,856.0,1089.0 
9, 34, 0.0,0.0,2453.0,2454.0,2454.0,-0.0 
10, 35, 0.0,0.0,-33.0,0.0,902.0,1805.0 
29, 161, 0.0,0.0,-12.0,0.0,347.0,693.0 
17, 76, 0.0,0.0,4384.0,8768.0,9996.0,5652.0 
8, 29, 0.0,0.0,-158.0,0.0,4408.0,8017.0 
22, 117, 0.0,0.0,0.0,0.0,-118.0,0.0 
4, 10, 0.0,0.0,-45.0,0.0,1250.0,2195.0 
3, 8, 0.0,0.0,-37.0,0.0,1024.0,0.0 
28, 158, 0.0,0.0,-33.0,0.0,929.0,1858.0 
20, 111, 0.0,0.0,0.0,0.0,-30.0,0.0 
13, 44, 0.0,0.0,-30.0,0.0,826.0,0.0 
31, 181, 0.0,0.0,-0.0,-0.0,0.0,0.0 
15, 64, 0.0,0.0,-72.0,0.0,2013.0,3215.0 
1, 3, 0.0,0.0,-21.0,0.0,609.0,0.0 
