Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0, 5.0, 6.0
18, 78, -0.0,0.0,-288.0,-179.0,-147.0,-147.0 
30, 180, 0.0,0.0,0.0,0.0,0.0,0.0 
2, 5, 0.0,0.0,11.0,-66.0,-400.0,-73.0 
16, 69, 0.0,0.0,-711.0,-711.0,-711.0,-634.0 
21, 115, 0.0,0.0,0.0,0.0,13.0,42.0 
7, 17, 0.0,0.0,-416.0,-204.0,-333.0,-257.0 
9, 34, -0.0,0.0,-428.0,-263.0,-444.0,-454.0 
10, 35, 0.0,0.0,119.0,105.0,145.0,353.0 
29, 161, 0.0,0.0,-83.0,-100.0,-100.0,-100.0 
17, 76, 0.0,0.0,-1850.0,-1850.0,-1776.0,-1414.0 
8, 29, 0.0,0.0,-313.0,-252.0,-95.0,-85.0 
22, 117, 0.0,0.0,0.0,0.0,-1000.0,-1000.0 
4, 10, 0.0,0.0,9.0,-55.0,314.0,-60.0 
3, 8, 0.0,0.0,-500.0,-500.0,-500.0,-500.0 
28, 158, 0.0,0.0,-428.0,-420.0,-473.0,-500.0 
20, 111, 0.0,0.0,0.0,0.0,223.0,181.0 
13, 44, 0.0,0.0,-440.0,-440.0,-418.0,-440.0 
31, 181, 0.0,0.0,0.0,0.0,0.0,0.0 
15, 64, 0.0,0.0,0.0,0.0,0.0,0.0 
1, 3, 0.0,0.0,-254.0,-221.0,-254.0,-234.0 
