Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0, 5.0, 6.0
18, 78, -245.0,-245.0,-2000.0,-1552.0,-1624.0,-1938.0 
30, 180, 0.0,0.0,0.0,0.0,0.0,0.0 
2, 5, 0.0,0.0,-86.0,-91.0,-186.0,-297.0 
16, 69, 0.0,0.0,0.0,0.0,-440.0,-457.0 
21, 115, 0.0,0.0,0.0,0.0,-105.0,-106.0 
7, 17, 0.0,0.0,-204.0,-169.0,-251.0,-209.0 
9, 34, -101.0,-72.0,470.0,481.0,476.0,510.0 
10, 35, 0.0,0.0,130.0,89.0,-177.0,-457.0 
29, 161, 0.0,0.0,-100.0,-100.0,-100.0,71.0 
17, 76, -1850.0,-1850.0,-1784.0,-652.0,-1081.0,-873.0 
8, 29, 0.0,0.0,-291.0,201.0,-23.0,9.0 
22, 117, 0.0,0.0,0.0,0.0,1257.0,967.0 
4, 10, 0.0,0.0,-71.0,-75.0,-154.0,-245.0 
3, 8, 0.0,0.0,-500.0,-500.0,-500.0,-500.0 
28, 158, 0.0,0.0,-65.0,224.0,293.0,-320.0 
20, 111, 0.0,0.0,0.0,0.0,178.0,176.0 
13, 44, 0.0,0.0,-440.0,-440.0,70.0,516.0 
31, 181, 0.0,0.0,-0.0,0.0,0.0,0.0 
15, 64, 0.0,0.0,-1000.0,-920.0,-779.0,-874.0 
1, 3, 0.0,0.0,-228.0,-213.0,-239.0,-205.0 
